,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,684,['Sophia'],['Callie Calls'],"2C, QS, 2S, 8S, 8D","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Madi': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Spades""), Card(""2"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",0
1,21,['Sophia'],['Callie Calls'],"7C, QC, KC, QH, JH","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts"")])}",1
2,3,['Sophia'],['Callie Calls'],"9C, KS, QS, 6D, 4S","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades"")])}",2
3,3,['Sophia'],['Callie Calls'],"KS, 10S, KC, 9S, 9C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"8C, 5S, QS, QH, 4C","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"JC, JS, QH, AD, QC","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"JC, AS, 8C, 5H, 5D","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"3D, 7H, AC, 3C, 8C","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"8C, 9D, QH, 8H, AD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"7C, 9C, 7D, KH, QS","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"8S, 5D, QH, AC, 8H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"KD, 4S, 6C, JD, 6S","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"10C, 9S, 7D, 6S, 8D","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"QS, 10D, 8S, JD, 9S","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"2H, QS, QD, AS, 2C","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"JC, 10S, JS, 10C, 8C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"AC, 9C, QC, 8H, JS","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"KD, 10C, 10S, AS, 9H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"2S, KD, 10H, 2H, QH","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"10D, JH, 10C, AD, QC","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",19
