,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,563,['Madi'],['Callie Calls'],"5S, 8S, AD, 5D, KS","{'Madi': Hand([Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades"")])}",0
1,37,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","2D, KH, 2S, 8D, 2H","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""2"", ""Spades""), Card(""8"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Madi': Hand([Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""2"", ""Spades""), Card(""8"", ""Diamonds""), Card(""2"", ""Hearts"")])}",1
2,42,['Cody'],['Robbie Random'],"QD, 7C, QS, JS, 7S","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Spades"")]), 'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"AC, QD, 7D, QS, 8H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")])}",3
4,89,['Madi'],['Callie Calls'],"7S, 6H, JD, 10C, JS","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""J"", ""Spades"")])}",4
5,131,['Madi'],['Callie Calls'],"2C, KD, 2S, 10S, JD","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Steve': Hand([Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds"")])}",5
6,43,['Madi'],['Callie Calls'],"8C, 9H, 8D, 9S, QC","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs"")])}",6
7,4,['Madi'],['Callie Calls'],"10H, 9S, JC, KH, QD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"AD, 9H, AH, 10H, JD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"7H, JS, 10D, 7S, KD","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")])}",9
