,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,539,['Madi'],['Callie Calls'],"JC, AC, JH, JS, 10C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")])}",0
1,209,['Sophia'],['Callie Calls'],"2C, 6H, 5C, 4H, 3S","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs""), Card(""4"", ""Hearts""), Card(""3"", ""Spades"")])}",1
2,47,['Madi'],['Callie Calls'],"8C, 9C, 10S, 8H, AS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Spades"")])}",2
3,22,['Madi'],['Callie Calls'],"6S, JD, 6D, 6H, 9S","{'Madi': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""3"", ""Spades""), Card(""6"", ""Hearts"")])}",3
4,11,['Sophia'],['Callie Calls'],"KH, 7H, 9D, QD, 10H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts"")])}",4
5,11,['Madi'],['Callie Calls'],"9H, KC, AS, 10S, 9C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",5
6,7,['Sophia'],['Callie Calls'],"AH, JS, 10C, JH, AD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds"")])}",6
7,6,['Sophia'],['Callie Calls'],"JD, JC, AC, KH, 9D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds"")])}",7
8,6,['Madi'],['Callie Calls'],"5S, JH, 10D, QS, 5D","{'Madi': Hand([Card(""5"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades"")])}",8
9,5,['Sophia'],['Callie Calls'],"AD, 10C, QD, 7S, 10S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""10"", ""Spades"")])}",9
10,4,['Madi'],['Callie Calls'],"5S, 2S, 3S, 6S, 4S","{'Madi': Hand([Card(""5"", ""Spades""), Card(""2"", ""Spades""), Card(""3"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""Q"", ""Hearts"")])}",10
11,12,['Sophia'],['Callie Calls'],"JD, AH, KH, JH, 8S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")])}",11
