,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,542,['Madi'],['Callie Calls'],"5H, 10C, AH, AD, 5S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades"")]), 'Steve': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds"")])}",0
1,169,['Madi'],['Callie Calls'],"10C, 6S, 6H, JD, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs"")])}",1
2,23,['Madi'],['Callie Calls'],"9C, QS, 10S, 7C, 9H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts"")])}",2
3,71,['Madi'],['Callie Calls'],"6C, QS, 6D, 3H, 3D","{'Cody': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"KD, KS, 5D, 10S, 7D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"KD, 7C, 3C, 3D, KH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""K"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"JH, AS, KH, AC, KS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"4H, 10D, 9C, AH, JH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"AD, JH, 8H, 7C, QC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"8C, 6D, 4H, 6C, JS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"5S, JH, 7S, 5H, 4H","{'Madi': Hand([Card(""5"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Hearts""), Card(""4"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"KC, 5C, 5S, KD, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"10H, 3C, 3H, JS, 10D","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"AD, QH, 2S, 2D, 8D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"8C, 3S, QD, 3H, KH","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""3"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""K"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"KC, 8S, AC, 3H, 3D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"KD, AD, 5H, 5D, KH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"7H, 5C, 6D, 5S, 7S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""7"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"5S, 5D, QD, AH, AD","{'Madi': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"JS, AH, QS, 10H, KH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"7D, 10S, 6D, AH, AS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"9S, JD, QD, 8D, QH","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"10H, KD, 9H, KC, 8H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"QC, JH, KH, AD, AS","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"JC, 10S, JS, QC, 10C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"6D, 6H, QH, JS, KD","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"8D, QC, QH, 9S, 10H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"9C, QH, 5C, AC, 9S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"KC, 9C, 8C, JC, QC","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs"")])}",28
29,12,['Madi'],['Callie Calls'],"AC, AS, AH, 9D, 10D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",29
