,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,477,['Madi'],['Callie Calls'],"AC, 6H, 2H, 6S, 2D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""2"", ""Hearts""), Card(""6"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Clubs""), Card(""2"", ""Hearts""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""2"", ""Hearts""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""2"", ""Diamonds"")])}",0
1,63,['Madi'],['Callie Calls'],"AC, 7C, KH, AD, KS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades"")])}",1
2,18,['Madi'],['Callie Calls'],"10D, 10S, JD, AH, JH","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",2
3,174,['Madi'],['Callie Calls'],"5H, 10S, 9S, 9C, 5C","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""5"", ""Clubs"")])}",3
4,12,['Madi'],['Callie Calls'],"5H, KH, 10H, KD, 4D","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",4
5,99,['Madi'],['Callie Calls'],"2S, AS, 4S, 6S, KS","{'Madi': Hand([Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Spades"")])}",5
6,4,['Madi'],['Callie Calls'],"3C, 3S, AH, QC, QD","{'Cody': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")]), 'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",6
7,12,['Madi'],['Callie Calls'],"5C, AD, QC, 5H, 10H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts"")])}",7
8,5,['Madi'],['Callie Calls'],"JC, 3C, JS, KH, 3D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""3"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""3"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"AD, KS, 10D, AC, JS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",9
10,12,['Madi'],['Callie Calls'],"8D, 8S, 3D, 3H, AH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Hearts"")])}",10
