,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Madi'],['Callie Calls'],"JD, AH, 9C, KC, AC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts"")])}",0
1,80,['Madi'],['Callie Calls'],"8C, AD, 9C, 7H, 9D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds"")])}",1
2,246,['Steve'],['Robbie Random'],"KD, 7H, AH, JC, QD","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds"")]), 'Steve': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",2
3,104,['Madi'],['Callie Calls'],"AH, 10H, KS, 7H, KC","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs"")])}",3
4,5,['Madi'],['Callie Calls'],"JC, 9C, 3C, 6C, 4C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""3"", ""Clubs""), Card(""6"", ""Clubs""), Card(""4"", ""Clubs"")])}",4
5,171,['Madi'],['Callie Calls'],"9S, AD, 9H, QH, 5D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""A"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts"")])}",5
6,4,['Madi'],['Callie Calls'],"AH, 8S, QH, 6D, 9S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"KC, JH, AD, JS, AH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")])}",7
8,5,['Madi'],['Callie Calls'],"KH, 3H, 2H, 6H, JH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Hearts""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")])}",8
9,4,['Madi'],['Callie Calls'],"KD, 6H, AS, 9H, QS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Spades"")])}",9
10,96,['Madi'],['Callie Calls'],"9D, 4H, 9C, AH, 4D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""4"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"10H, QS, 10D, 2H, 2S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Spades"")])}",11
12,108,['Madi'],['Callie Calls'],"10H, KC, AD, KS, 10S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"5C, 9D, JC, 9C, AH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts"")])}",13
