,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,601,['Madi'],['Callie Calls'],"6S, 9H, KS, 9D, 7D","{'Madi': Hand([Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",0
1,101,['Madi'],['Callie Calls'],"2D, 8H, 2C, AC, 8D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""2"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds"")])}",1
2,70,['Madi'],['Callie Calls'],"7D, 7S, 4C, KD, 4H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Hearts"")])}",2
3,24,['Madi'],['Callie Calls'],"JS, JC, 10H, KD, 8D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"AS, 8H, 10S, 6S, 10C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""10"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"8C, KS, JS, KC, JD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"KD, 4C, QD, QH, 4S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"9S, 8S, 6C, 9C, 6S","{'Madi': Hand([Card(""9"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"JH, QC, KS, JS, KC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"JS, QC, KS, AH, 7D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"QS, 10H, JS, 7C, 7D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"9D, 10S, 3C, 10C, 3S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""3"", ""Clubs""), Card(""10"", ""Clubs""), Card(""3"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"10C, 4H, QS, KC, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""4"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"6H, JS, 6C, QC, KH","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"10C, 2C, 9H, 2H, JH","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Hearts""), Card(""2"", ""Hearts""), Card(""J"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"8C, 4D, 7H, 6C, 5S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""5"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"KS, 7C, 9C, 9D, QS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"AC, 7H, KC, 7C, 6S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"7C, 8C, 5D, 4S, 6H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"5D, JC, AS, AC, KS","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"2H, 9C, QD, 9S, 2D","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""2"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"4C, 4H, QC, QS, QH","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"QC, KS, 7D, 7S, KC","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Clubs"")])}",22
23,12,['Madi'],['Callie Calls'],"9C, 7C, JH, QD, JC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"QS, JD, 8H, 9H, 10H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"10S, 7D, 6D, 9S, 8D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"9S, 6D, 10D, 8D, 7C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs"")])}",26
27,12,['Madi'],['Callie Calls'],"AC, 7H, KD, 9H, 9C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"2D, 9S, 2H, KH, 9H","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""9"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"9C, KC, AC, QH, 8D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds"")])}",29
