,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,568,['Madi'],['Callie Calls'],"3S, 2S, 3C, JD, 2C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""2"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""2"", ""Clubs"")])}",0
1,225,['Madi'],['Callie Calls'],"2S, AD, 2H, 2C, 10H","{'Cody': Hand([Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs"")]), 'Madi': Hand([Card(""2"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Steve': Hand([Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Hearts"")])}",1
2,10,['Madi'],['Callie Calls'],"AH, 8C, KD, JD, KH","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"3S, 9C, 7D, 7S, 3C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""3"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"AS, 8S, 4H, QD, QS","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"3H, JD, KC, 3C, KS","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""3"", ""Clubs""), Card(""K"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"KC, KH, 10C, 3C, 3S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"5D, AS, 10C, 6S, 8S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Spades""), Card(""8"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"7H, 10H, JH, 10D, 8H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"KS, KH, 6H, AD, 6C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"7S, KD, 9D, 7D, QD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"8S, KD, 10S, 6H, JH","{'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"9D, AC, 6D, AD, 10H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"JD, 6D, AD, 9C, 6H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"QS, 7S, QD, JH, 7H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"QD, 10S, 10C, QC, 8S","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"7C, QH, 7D, KH, 9S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"3S, 8D, 8H, 3C, JC","{'Madi': Hand([Card(""3"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"8S, 6H, 6S, 10H, QH","{'Madi': Hand([Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts"")])}",18
