,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,302,['Madi'],['Callie Calls'],"4C, AC, 9C, 10C, 6C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")])}",0
1,255,['Madi'],['Callie Calls'],"9H, 2C, JC, 2H, QH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""J"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")])}",1
2,167,['Madi'],['Callie Calls'],"2H, 5S, 6D, 4S, 3S","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades""), Card(""3"", ""Spades"")])}",2
3,93,['Madi'],['Callie Calls'],"AS, 6C, 6S, KD, QC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"JS, 8S, 10S, QS, 9S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Spades"")])}",4
5,4,['Madi'],['Callie Calls'],"QD, AH, AD, AS, 8H","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"KS, 10S, AS, 7S, 2S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AH, 10S, 8C, KS, 10D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"8D, 6D, AC, 7S, 8H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"JH, JC, 4S, QS, 4H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts"")])}",9
