,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,439,['Sophia'],['Callie Calls'],"10C, 10S, KD, 7C, 10D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")])}",0
1,256,['Sophia'],['Callie Calls'],"8D, 8S, 8C, 3C, 3H","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",1
2,102,['Michelle'],['Robbie Random'],"10C, 10D, 3C, 3S, 3H","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Clubs"")])}",2
3,13,['Sophia'],['Callie Calls'],"10S, 9C, 10H, 6C, JH","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts"")])}",3
4,19,['Sophia'],['Callie Calls'],"JD, 8H, 10S, 10C, KC","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs"")])}",4
5,4,['Sophia'],['Callie Calls'],"QC, AS, AC, QD, 9D","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",5
6,118,['Sophia'],['Callie Calls'],"7H, 8S, 3H, 3S, JD","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Diamonds"")])}",6
7,63,['Sophia'],['Callie Calls'],"QH, AC, 7H, AD, 7S","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades"")])}",7
8,16,['Sophia'],['Callie Calls'],"JD, 5S, KD, 9C, 5C","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""5"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"4S, 8C, AD, 4D, 7D","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"9D, KD, 5H, KC, 6H","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"JS, 2H, AS, JC, JH","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""2"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"AS, 9H, 2S, 2C, AD","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""A"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"3H, 3C, JH, AD, QH","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"JD, AS, 10C, 9H, 8C","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"2H, 7S, 2D, 7D, 7C","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""7"", ""Spades""), Card(""2"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"AH, 6C, JS, 8S, QH","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"AD, JD, QD, JH, AS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")])}",17
