,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,416,['Madi'],['Callie Calls'],"5S, 9C, 7C, 8D, 6H","{'Madi': Hand([Card(""5"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts"")]), 'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",0
1,326,['Madi'],['Callie Calls'],"8C, 10C, 7H, KS, AS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Spades"")])}",1
2,63,['Madi'],['Callie Calls'],"KD, 10H, QH, 5C, 7H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Hearts"")])}",2
3,14,['Madi'],['Callie Calls'],"JS, 6H, 6D, KC, QD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",3
4,5,['Madi'],['Callie Calls'],"6D, JD, KC, 8S, AH","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Hearts"")])}",4
5,4,['Madi'],['Callie Calls'],"KS, QC, AS, JD, KC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",5
6,4,['Madi'],['Callie Calls'],"QS, 5C, JH, 5S, 8S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Spades"")])}",6
7,5,['Madi'],['Callie Calls'],"JC, 8D, 8C, JH, KH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts"")])}",7
8,6,['Madi'],['Callie Calls'],"AH, 9S, QS, 9D, KC","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"JS, 8H, 8S, QC, AC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"KD, AC, 8S, KS, 8D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"KH, JS, 7S, JD, 7C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"AS, 9D, 7S, 9S, 8C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"8C, 7C, KH, 8S, JS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"3S, 6S, 6C, 3D, QC","{'Madi': Hand([Card(""3"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"4C, 8H, 4H, 2S, 2H","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Hearts"")])}",15
