,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,663,['Michelle'],['Robbie Random'],"8H, AC, 6C, AS, 10S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")]), 'Michelle': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""5"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",0
1,29,['Steve'],['Robbie Random'],"9S, 2S, JD, 2D, KH","{'Steve': Hand([Card(""9"", ""Spades""), Card(""2"", ""Spades""), Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts"")])}",1
2,686,['Michelle'],['Robbie Random'],"5D, 3H, 5C, 5S, 10D","{'Michelle': Hand([Card(""5"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds"")])}",2
3,14,['Michelle'],['Robbie Random'],"10D, JC, AS, 7S, KC","{'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Clubs"")])}",3
4,4,['Michelle'],['Robbie Random'],"7C, 4S, 9H, 4D, 9S","{'Michelle': Hand([Card(""7"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades"")])}",4
5,4,['Cody'],['Robbie Random'],"6S, JD, KS, QH, 10H","{'Cody': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")])}",5
6,6,['Cody'],['Robbie Random'],"10C, KH, 9C, AH, JS","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")])}",6
7,540,['Cody'],['Robbie Random'],"8H, 8D, 3H, 9H, 9D","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")])}",7
8,90,['Cody'],['Robbie Random'],"AS, 2D, 2H, KH, AH","{'Cody': Hand([Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts"")])}",8
9,88,['Michelle'],['Robbie Random'],"QC, 3D, QH, QS, 3S","{'Michelle': Hand([Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""3"", ""Spades"")])}",9
10,3,['Cody'],['Robbie Random'],"7S, 8S, 10S, 4H, 5C","{'Cody': Hand([Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Hearts""), Card(""5"", ""Clubs"")])}",10
11,367,['Cody'],['Robbie Random'],"KD, 9D, KS, AC, 10H","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",11
12,139,['Michelle'],['Robbie Random'],"AC, AS, KC, KS, AH","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")])}",12
13,6,['Cody'],['Robbie Random'],"7C, 9C, 8S, JC, 8H","{'Cody': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts"")])}",13
14,6,['Cody'],['Robbie Random'],"8H, 7D, KC, 9D, 10S","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades"")])}",14
15,87,['Cody'],['Robbie Random'],"QS, 10S, QC, 10C, JC","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs"")])}",15
16,6,['Cody'],['Robbie Random'],"7D, AD, QS, 6C, 6D","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",16
17,692,['Michelle'],['Robbie Random'],"AC, 8H, KC, AS, 8C","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Clubs"")])}",17
18,131,['Cody'],['Robbie Random'],"10D, 4D, KH, JC, 4C","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs"")])}",18
19,6,['Cody'],['Robbie Random'],"2C, 4S, 2D, KH, 4D","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""4"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds"")])}",19
20,6,['Michelle'],['Robbie Random'],"6C, AD, QH, 2C, 2H","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")])}",20
21,16,['Cody'],['Robbie Random'],"AD, 3H, 3D, AH, 3C","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""3"", ""Clubs"")])}",21
22,731,['Cody'],['Robbie Random'],"6S, QC, JS, AH, 9S","{'Cody': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",22
23,12,['Michelle'],['Robbie Random'],"AC, 6H, 6D, 5S, AS","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Spades"")])}",23
24,563,['Michelle'],['Robbie Random'],"KH, 7D, QC, KC, 7C","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs"")])}",24
25,646,['Michelle'],['Robbie Random'],"9S, AS, JS, JH, 9C","{'Michelle': Hand([Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs"")])}",25
