,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,559,['Madi'],['Callie Calls'],"AC, 9S, 2C, JS, 2S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""2"", ""Clubs""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""2"", ""Clubs""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")])}",0
1,98,['Sophia'],['Callie Calls'],"JH, JS, AC, 6C, JD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")])}",1
2,44,['Madi'],['Callie Calls'],"9H, 5D, 5S, AD, 9C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs"")])}",2
3,5,['Sophia'],['Callie Calls'],"6H, JH, AD, 6C, JS","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")])}",3
4,69,['Sophia'],['Callie Calls'],"QS, 10D, 8S, 10C, KD","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds"")])}",4
5,7,['Sophia'],['Callie Calls'],"AC, 8S, 5D, 8C, 5S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""5"", ""Spades"")])}",5
6,6,['Madi'],['Callie Calls'],"9C, 3D, 9H, 3C, AD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",6
7,4,['Madi'],['Callie Calls'],"AD, 9H, QH, AC, 9S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs"")])}",7
8,6,['Sophia'],['Callie Calls'],"6C, AH, 6H, 6D, 5D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",8
9,7,['Sophia'],['Callie Calls'],"KC, AD, 8H, KS, AH","{'Madi': Hand([Card(""2"", ""Spades""), Card(""8"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")])}",9
