,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,653,['Madi'],['Callie Calls'],"3S, AC, 2H, 3H, 2D","{'Madi': Hand([Card(""3"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""3"", ""Hearts""), Card(""2"", ""Diamonds"")]), 'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts""), Card(""7"", ""Clubs""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""7"", ""Clubs""), Card(""2"", ""Diamonds"")])}",0
1,53,['Madi'],['Callie Calls'],"JH, 10H, JC, 7S, 7C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")])}",1
2,26,['Madi'],['Callie Calls'],"7H, JD, JC, QC, 8H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts"")])}",2
3,14,['Madi'],['Callie Calls'],"9H, 8H, KS, 6S, 6H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"KD, AD, AH, 10H, 10C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"9H, 9S, 7S, QC, 8C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"2D, 2H, 5D, 5H, 10S","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""10"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"6C, QH, 9S, 7C, AS","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"9S, JC, 8D, QH, JH","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"QD, 6C, 6H, 10D, 6D","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"AS, QC, 8C, 9S, 9H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""9"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"7S, JH, 7H, AC, QH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"6C, 6D, 10D, 4S, 6S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"8S, 4D, 6C, 7D, 5C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""5"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"4D, JC, 4C, 8D, AS","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"JD, 10H, KS, 5D, JC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""J"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"9C, 9D, 9H, 8H, 9S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"7C, 8C, 9D, 5D, 6S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""6"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"AD, JD, 8H, JS, KD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"10S, 8C, KS, 9C, 10H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"9C, 8C, 7D, 8D, 7S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"7C, JH, 7S, 4C, 7H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""4"", ""Clubs""), Card(""7"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"8C, 10D, 7C, 9H, JS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Spades"")])}",22
