,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,453,['Madi'],['Callie Calls'],"AH, QS, 10H, AS, JD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")])}",0
1,107,['Sophia'],['Callie Calls'],"JD, 8D, 4D, 3D, 6D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",1
2,133,['Madi'],['Callie Calls'],"7H, QH, QD, JC, 10D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds"")])}",2
3,207,['Madi'],['Callie Calls'],"8C, 8D, 8S, 6C, 6D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",3
4,9,['Madi'],['Callie Calls'],"9H, 2S, 9D, 2H, 9C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""9"", ""Clubs"")])}",4
5,7,['Sophia'],['Callie Calls'],"7S, QH, KH, JH, 8S","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")])}",5
6,4,['Madi'],['Callie Calls'],"KC, JS, 5S, 8D, JD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",6
7,6,['Sophia'],['Callie Calls'],"KS, KC, 5C, 5H, AC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"6S, 8C, QH, 6H, 8H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts"")])}",8
9,4,['Sophia'],['Callie Calls'],"10S, AD, 9S, 7S, KD","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")])}",9
