,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,404,['Sophia'],['Callie Calls'],"7C, 10H, 5H, 7D, 5D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",0
1,259,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","9H, 6H, AD, JS, 9D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds"")])}",1
2,85,['Sophia'],['Callie Calls'],"5C, 10C, 5D, JS, KD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""10"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds"")])}",2
3,10,['Madi'],['Callie Calls'],"AD, 2H, 2S, 8H, JS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Spades"")])}",3
4,126,['Madi'],['Callie Calls'],"KD, 7D, 6S, KH, JH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")])}",4
5,5,['Sophia'],['Callie Calls'],"AS, 10C, 6C, 9S, 6S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Spades"")])}",5
6,30,['Sophia'],['Callie Calls'],"6C, 6S, 9C, 9S, AD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",6
7,5,['Madi'],['Callie Calls'],"8S, QH, KH, 10C, 8D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds"")])}",7
8,6,['Madi'],['Callie Calls'],"JD, JH, QC, AS, 10D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")])}",8
9,22,['Madi'],['Callie Calls'],"QH, KS, 10D, KD, QD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",9
