,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,541,['Sophia'],['Callie Calls'],"8S, JD, 9S, QS, 10H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts"")])}",0
1,152,['Sophia'],['Callie Calls'],"3C, 3D, JH, QH, QS","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades"")])}",1
2,30,['Sophia'],['Callie Calls'],"QS, 3D, QC, 3C, QH","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""3"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""Q"", ""Hearts"")])}",2
3,11,['Sophia'],['Callie Calls'],"4D, QC, JC, 4H, AD","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"4C, 7D, AD, QH, JH","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts"")])}",4
5,42,['Sophia'],['Callie Calls'],"JS, 9S, 9C, 10S, 10D","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")])}",5
6,4,['Sophia'],['Callie Calls'],"QS, 7S, 3S, JC, 3D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""3"", ""Diamonds"")])}",6
7,35,['Sophia'],['Callie Calls'],"10C, AC, QH, JD, 6D","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",7
8,4,['Sophia'],['Callie Calls'],"QC, 9S, JH, 6C, AS","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"JS, QH, 7C, 7S, KD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"8D, QD, 7S, AH, 8S","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"3S, 8D, 3H, 9S, 9H","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""8"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"AS, KH, KD, KC, 10H","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"9H, AD, QC, 7S, 4H","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""4"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"KS, AS, JS, 6S, 5S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"2C, 8C, 2D, 8S, 8D","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""8"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"7S, QS, 9S, 8S, 7D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"10C, 9C, JH, AC, 6H","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"KS, 2S, JS, 2H, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""2"", ""Hearts""), Card(""A"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"7H, JD, 10S, QC, 9H","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"5C, JC, QC, 9C, 3C","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""3"", ""Clubs"")])}",20
