,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,441,['Sophia'],['Callie Calls'],"QS, 9C, KH, KC, 9S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")])}",0
1,330,['Madi'],['Callie Calls'],"KS, AD, 10S, 7D, 10D","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Michelle': Hand([Card(""6"", ""Spades""), Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",1
2,23,['Sophia'],['Callie Calls'],"6C, 4H, 4D, 6S, 6H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")])}",2
3,6,['Sophia'],['Callie Calls'],"8D, 7S, 9H, 5C, 6D","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds"")])}",3
4,5,['Madi'],['Callie Calls'],"QC, 9D, AC, 9H, 5C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs"")])}",4
5,6,['Madi'],['Callie Calls'],"8S, JS, 2S, 10S, 9S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""2"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Spades"")])}",5
6,9,['Sophia'],['Callie Calls'],"8C, JH, 9H, 8H, 9C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs"")])}",6
7,12,['Steve'],['Robbie Random'],"KD, JH, 2S, AC, 2D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds"")]), 'Steve': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds"")])}",7
8,27,['Sophia'],['Callie Calls'],"9S, 8D, 9H, 9C, 8H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts"")])}",8
9,11,['Sophia'],['Callie Calls'],"KD, 5H, KS, 10C, 10D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds"")])}",9
