,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,448,['Madi'],['Callie Calls'],"KS, 3D, 3S, KH, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades"")])}",0
1,93,['Steve'],['Robbie Random'],"2C, KC, 2H, KH, KD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Steve': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")])}",1
2,157,['Michelle'],['Robbie Random'],"AH, QC, 5H, QH, 7H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Michelle': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")])}",2
3,407,['Madi'],['Callie Calls'],"9C, 9H, 8S, 4C, JS","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Clubs""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Clubs""), Card(""J"", ""Spades"")])}",3
4,26,['Cody'],['Robbie Random'],"JC, KC, JS, 6C, 8H","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs"")])}",4
5,6,['Michelle'],['Robbie Random'],"7C, 9H, KS, AH, QS","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Michelle': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades"")])}",5
6,136,['Madi'],['Callie Calls'],"8S, AD, AH, 9D, 10S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades"")])}",6
7,45,['Madi'],['Callie Calls'],"AH, 8D, 5H, 5S, 8S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"KC, 10H, 8C, QC, JS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")])}",8
9,11,['Madi'],['Callie Calls'],"6D, QC, AS, 10C, QS","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades"")])}",9
