,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,460,['Sophia'],['Callie Calls'],"6C, 6S, 9S, QD, 10C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")])}",0
1,224,['Michelle'],['Robbie Random'],"QD, 10C, 7D, QC, JS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")])}",1
2,329,['Sophia'],['Callie Calls'],"10C, 8D, 7S, 8C, QH","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts"")])}",2
3,4,['Sophia'],['Callie Calls'],"5H, 3S, 3H, QH, 5S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades"")])}",3
4,231,['Michelle'],['Robbie Random'],"8H, 10H, 8S, QC, KH","{'Michelle': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"10S, 4S, 10C, 4D, AS","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Spades""), Card(""10"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Spades"")])}",5
6,4,['Sophia'],['Callie Calls'],"JC, KD, JH, 10S, QD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds"")])}",6
7,467,['Sophia'],['Callie Calls'],"JS, 10H, 9S, 7C, JC","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"9H, QH, 7S, 5H, JS","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Hearts""), Card(""J"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"10D, 10H, 9D, JS, 5H","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"4S, 4H, AS, KH, QD","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"QS, QC, QD, 9S, 8D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"AH, 10D, JD, 4H, 4D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"AC, QC, 8S, 8C, KD","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"5D, 5S, 9C, AC, 7C","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"QS, 10S, JC, AH, 8C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"5H, 2D, 3S, AS, 4H","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""3"", ""Spades""), Card(""A"", ""Spades""), Card(""4"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"QS, 5D, 9D, JS, AD","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"QD, 10D, 10H, KD, QS","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"QH, KS, 8C, 10D, 9H","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts"")])}",19
