,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,490,['Madi'],['Callie Calls'],"8H, QD, 5C, QH, 10H","{'Cody': Hand([Card(""7"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""4"", ""Clubs""), Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")])}",0
1,28,['Madi'],['Callie Calls'],"QS, 10D, 7C, 6S, JC","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Clubs"")])}",1
2,262,['Madi'],['Callie Calls'],"10H, 4S, 4H, QC, KD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds"")])}",2
3,6,['Madi'],['Callie Calls'],"9H, 2H, 6H, 7H, 3H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""3"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"10C, KS, AS, 10S, KH","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Hearts"")])}",4
5,4,['Madi'],['Callie Calls'],"6C, AS, 10S, 8C, 5D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"7C, QC, JS, 8H, KC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"AH, JH, 9D, QD, 9H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Hearts"")])}",7
8,32,['Madi'],['Callie Calls'],"6H, KC, 9H, 6S, 9D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"KD, 9S, AS, KC, 7D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"7D, 10C, 8C, 8S, JD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"9C, 7D, QS, QH, 9H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"KS, 9D, JH, QD, JS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"2S, 2H, 9S, 10S, 9H","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"AH, 10H, 10S, 5H, AD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"KD, KH, 10C, JD, 10D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"KS, AD, KC, 7S, 7H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"9D, AH, JS, JC, 7H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"7S, 7C, JC, 4C, QH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"7C, JH, AD, QH, AC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"KS, 10D, JD, KC, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"AS, 4S, 4H, 6D, 4D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",21
