,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,428,['Sophia'],['Callie Calls'],"9H, QC, 9C, QS, 9D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds"")])}",0
1,82,['Madi'],['Callie Calls'],"4C, 4S, 6H, 9H, 10C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs"")])}",1
2,161,['Sophia'],['Callie Calls'],"9D, 2S, KS, 2D, 7S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Spades""), Card(""K"", ""Spades""), Card(""2"", ""Diamonds""), Card(""7"", ""Spades"")])}",2
3,280,['Sophia'],['Callie Calls'],"KC, QS, AS, QC, AC","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"JC, 7D, KH, AD, 7S","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"8S, 7S, 9H, 10H, QH","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"JH, 8C, 10C, 9D, QH","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"7S, 10H, 8H, 9D, 9C","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"6C, 7S, JC, 10S, KD","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"QC, AS, QS, 9S, 10D","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"6S, KS, 10S, QH, QD","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"9S, 8C, JS, 9H, QD","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"8D, KC, 8S, QD, KS","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"AD, QD, 8C, QC, 8S","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"AC, JH, QC, QD, JS","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"8H, 9C, 9D, 5D, QH","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"5C, 2C, 5H, JD, 2S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""2"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""2"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"JD, KS, 7S, 10C, AS","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"AH, 6C, QH, AS, 6H","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"JS, 9D, KH, AH, KD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"4S, 9S, JC, 5D, 8S","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"JC, 5C, 6S, JH, 10S","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")])}",21
22,12,['Sophia'],['Callie Calls'],"9C, 6C, 10C, 4C, AC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs"")])}",22
23,12,['Sophia'],['Callie Calls'],"5D, 5C, 6H, 6C, 6S","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"9C, 9D, AD, QD, QS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades"")])}",24
25,12,['Sophia'],['Callie Calls'],"AH, 9H, 2D, 10D, 2H","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts"")])}",25
26,12,['Sophia'],['Callie Calls'],"10S, AD, AS, 10D, 7H","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts"")])}",26
27,12,['Sophia'],['Callie Calls'],"3S, KD, KC, 3D, 6C","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""6"", ""Clubs"")])}",27
28,12,['Sophia'],['Callie Calls'],"JD, 9D, 3D, AD, 6D","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",28
29,12,['Sophia'],['Callie Calls'],"7D, 9H, 7S, JC, QS","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades"")])}",29
