,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,584,['Madi'],['Callie Calls'],"JH, KS, 8H, 8S, JS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Hearts"")])}",0
1,31,['Madi'],['Callie Calls'],"KS, KD, 9C, 8D, 5C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""5"", ""Clubs"")])}",1
2,3,['Madi'],['Callie Calls'],"5H, 5D, 5C, 7S, 7C","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")])}",2
3,3,['Madi'],['Callie Calls'],"JS, 8H, QS, 8C, QC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"7C, KC, 10S, KD, AS","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades"")])}",4
5,12,['Madi'],['Callie Calls'],"QS, 8C, 3D, 9C, 3S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""3"", ""Spades"")])}",5
6,142,['Michelle'],['Robbie Random'],"4C, QC, 4D, 4H, 9C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts"")]), 'Michelle': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"6C, 10C, 10D, 6S, 6D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",7
8,4,['Madi'],['Callie Calls'],"8S, 2H, 8H, KS, 2C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""2"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""2"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"KS, 10D, KC, 7D, 7C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs"")])}",9
