,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,561,['Michelle'],['Robbie Random'],"9H, 9S, 10D, 7D, QH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Steve': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs"")])}",0
1,67,['Cody'],['Robbie Random'],"5D, 8S, 5S, 8H, KH","{'Cody': Hand([Card(""5"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts"")])}",1
2,9,['Michelle'],['Robbie Random'],"KD, 9C, 8C, 10C, 10H","{'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts"")])}",2
3,77,['Michelle'],['Robbie Random'],"10D, 7S, KD, AS, 10S","{'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",3
4,3,['Michelle'],['Robbie Random'],"QH, QS, 5S, 9D, JC","{'Michelle': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs"")])}",4
5,18,['Cody'],['Robbie Random'],"JD, QH, 8D, 8H, AH","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts"")])}",5
6,661,['Cody'],['Robbie Random'],"KH, JS, 9C, 9S, KC","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""K"", ""Clubs"")])}",6
7,3,['Michelle'],['Robbie Random'],"7C, QH, 6D, 6C, 9D","{'Michelle': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds"")])}",7
8,8,['Michelle'],['Robbie Random'],"JD, 9D, KD, KH, 10D","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds"")])}",8
9,3,['Cody'],['Robbie Random'],"7C, AC, 7H, 5D, 7S","{'Cody': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades"")])}",9
10,3,['Michelle'],['Robbie Random'],"6C, JD, 6H, JS, 9C","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Clubs"")])}",10
11,708,['Cody'],['Robbie Random'],"9H, 4S, KC, 4D, QS","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Spades"")])}",11
12,6,['Bob'],['Floyd Folds'],"9D, QH, AS, JC, 9C","{'Bob': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs"")])}",12
13,6,['Cody'],['Robbie Random'],"10S, 9C, 10C, 8H, AC","{'Cody': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs"")])}",13
14,6,['Bob'],['Floyd Folds'],"4H, KH, JS, 5H, JD","{'Bob': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds"")])}",14
15,6,['Cody'],['Robbie Random'],"3S, AD, 5D, 5H, 3H","{'Cody': Hand([Card(""3"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""3"", ""Hearts"")])}",15
16,150,['Cody'],['Robbie Random'],"QS, QC, KS, 4C, 4S","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Spades"")])}",16
17,6,['Cody'],['Robbie Random'],"KS, 9H, JC, 10H, JS","{'Cody': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Spades"")])}",17
18,6,['Bob'],['Floyd Folds'],"KC, 10C, 10S, 2C, 10D","{'Bob': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds"")])}",18
19,6,['Cody'],['Robbie Random'],"9S, 10D, 9C, QD, QH","{'Cody': Hand([Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",19
20,6,['Bob'],['Floyd Folds'],"KD, 8H, 3H, 3D, AS","{'Bob': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Spades"")])}",20
21,12,['Cody'],['Robbie Random'],"7D, 6D, 5S, 8C, 9H","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",21
22,444,['Cody'],['Robbie Random'],"AH, 5S, 9H, 9D, 6D","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",22
23,12,['Cody'],['Robbie Random'],"10C, AS, 10H, KD, 8D","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",23
24,12,['Cody'],['Robbie Random'],"7D, AC, QS, QD, AS","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades"")])}",24
25,12,['Cody'],['Robbie Random'],"10C, 5C, JD, 10D, AS","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""5"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades"")])}",25
26,12,['Cody'],['Robbie Random'],"4D, 7C, 4C, JH, 9H","{'Cody': Hand([Card(""4"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")])}",26
27,12,['Cody'],['Robbie Random'],"AS, 8H, 8S, 8D, AH","{'Cody': Hand([Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts"")])}",27
28,12,['Bob'],['Floyd Folds'],"5D, 2S, 3H, 4S, AC","{'Bob': Hand([Card(""5"", ""Diamonds""), Card(""2"", ""Spades""), Card(""3"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Clubs"")])}",28
29,12,['Cody'],['Robbie Random'],"AH, 10H, KH, 10C, QD","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",29
30,12,['Cody'],['Robbie Random'],"AH, 8S, 5H, 5D, 8C","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs"")])}",30
31,24,['Cody'],['Robbie Random'],"QS, AH, 6D, QD, 6C","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs"")])}",31
32,137,['Cody'],['Robbie Random'],"10D, KH, 10S, AD, JS","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades"")])}",32
