,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,596,['Madi'],['Callie Calls'],"AH, 7D, 6C, 5S, JD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds"")])}",0
1,12,['Madi'],['Callie Calls'],"QD, QC, 8D, 8H, 10C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""10"", ""Clubs"")])}",1
2,32,['Madi'],['Callie Calls'],"JH, QD, AC, 3H, 3C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs"")])}",2
3,3,['Madi'],['Callie Calls'],"JH, 2C, 6H, 6C, 6D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"AD, AC, 3C, 3H, AS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""A"", ""Spades"")])}",4
5,4,['Madi'],['Callie Calls'],"6S, 6H, 6C, 8H, KC","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"AH, QS, KC, 7S, 10S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Spades"")])}",6
7,153,"['Madi', 'Steve']","['Callie Calls', 'Robbie Random']","JC, KS, AC, 6H, 6C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")])}",7
8,4,['Madi'],['Callie Calls'],"JH, 5S, 5D, 10H, 9C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs"")])}",8
9,94,['Steve'],['Robbie Random'],"QC, AD, QH, QD, KD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Steve': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"QC, 9C, 8S, AC, JS","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",10
11,8,['Madi'],['Callie Calls'],"10D, AD, QS, 9C, QD","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"9C, 9S, AD, 8D, JD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",12
13,10,['Madi'],['Callie Calls'],"KS, JH, QH, KH, 8S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""8"", ""Spades"")])}",13
