,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,575,['Sophia'],['Callie Calls'],"8H, 4H, 8S, 4D, KS","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Spades"")])}",0
1,94,['Sophia'],['Callie Calls'],"8S, 6C, KC, QC, 9D","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds"")])}",1
2,6,['Sophia'],['Callie Calls'],"10D, 6D, 5S, KD, 9C","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs"")])}",2
3,12,['Sophia'],['Callie Calls'],"KC, 5C, KS, 7C, QD","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",3
4,117,['Sophia'],['Callie Calls'],"KC, JD, 10H, JC, KH","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts"")])}",4
5,4,['Sophia'],['Callie Calls'],"7C, KC, 5C, 7H, 5H","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Hearts""), Card(""5"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"QS, JS, 8S, AH, 8H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"6S, 6C, JC, 8D, KD","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"QC, 7D, 9H, 6C, JD","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"5D, KS, 8S, AS, KD","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds"")])}",9
