,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,514,['Sophia'],['Callie Calls'],"10H, AC, JC, AH, 10S","{'Cody': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")]), 'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")])}",0
1,258,['Madi'],['Callie Calls'],"7H, 5D, 6H, 3C, 4D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""3"", ""Clubs""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""3"", ""Clubs""), Card(""4"", ""Diamonds"")])}",1
2,24,['Sophia'],['Callie Calls'],"JD, JC, JH, 9S, 9D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds"")])}",2
3,14,['Madi'],['Callie Calls'],"8S, QS, 3S, 2S, 10S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""2"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Spades"")])}",3
4,5,['Sophia'],['Callie Calls'],"JD, 7C, QD, JC, 7D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")])}",4
5,4,['Madi'],['Callie Calls'],"8S, QC, 8D, JD, JC","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs"")])}",5
6,6,['Sophia'],['Callie Calls'],"6S, JD, 6D, AD, QS","{'Madi': Hand([Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades"")])}",6
7,5,['Sophia'],['Callie Calls'],"AH, 4D, 4C, 3C, 3H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",7
8,4,['Sophia'],['Callie Calls'],"KD, 9C, AS, 7C, QS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades"")])}",8
9,6,['Sophia'],['Callie Calls'],"KD, 6H, 7S, 6D, 10S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades"")])}",9
