,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,530,['Madi'],['Callie Calls'],"4S, 7C, 7S, 10S, 4H","{'Madi': Hand([Card(""4"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Hearts"")]), 'Michelle': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Clubs"")])}",0
1,94,['Sophia'],['Callie Calls'],"5C, JC, 2D, 5S, 2H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""5"", ""Spades""), Card(""2"", ""Hearts"")])}",1
2,233,['Cody'],['Robbie Random'],"9S, AS, 8C, 8S, AD","{'Cody': Hand([Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Madi': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds"")])}",2
3,300,['Madi'],['Callie Calls'],"QS, JD, QH, JC, AD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds"")])}",3
4,207,['Madi'],['Callie Calls'],"AS, KH, KS, JS, 10S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades"")])}",4
5,4,['Madi'],['Callie Calls'],"AS, QH, 10H, 10C, JD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds"")])}",5
6,4,['Madi'],['Callie Calls'],"3H, QH, QC, 3D, 6D","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",6
7,23,['Madi'],['Callie Calls'],"AC, JC, JD, AH, KS","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")]), 'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"QC, QS, 5S, KS, QH","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"JH, 8H, 9D, JS, 7S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"KH, 6C, 10D, JS, 8C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"4C, 8D, KC, 10D, 4D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"AS, 9D, 8S, QD, AH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"KS, 6H, QD, QH, KC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"9H, KH, 9D, 9S, 2D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""2"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"JS, KH, KC, QC, AH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"7H, 7D, QD, 7C, QS","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"3S, 3D, 3C, 10S, 7D","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"7C, 10D, KS, QD, JC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"9S, 2C, 9D, 2D, 10H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""10"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"5H, 10D, 9S, 9H, JS","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"KC, 5D, JH, KD, QD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"4S, 4C, 6H, QS, 4H","{'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"2D, AD, 9D, 8D, 5D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",23
24,12,['Madi'],['Callie Calls'],"6D, 10C, QS, JD, 6S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"JH, 8C, 10S, 5D, AC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs"")])}",25
26,12,['Madi'],['Callie Calls'],"5C, 7C, KC, 7S, 6D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds"")])}",26
27,12,['Madi'],['Callie Calls'],"9S, 5D, KD, QC, 9C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"10H, JH, 7S, KC, KH","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts"")])}",28
