,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,274,['Sophia'],['Callie Calls'],"5C, 7S, 7H, KS, 5S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Spades"")])}",0
1,190,['Sophia'],['Callie Calls'],"9C, AH, 4H, 4C, AC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Michelle': Hand([Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs"")])}",1
2,91,['Sophia'],['Callie Calls'],"6H, JC, 8C, 10S, QD","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds"")])}",2
3,125,['Sophia'],['Callie Calls'],"AH, 3S, AD, 3C, 6D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""6"", ""Diamonds"")])}",3
4,24,['Sophia'],['Callie Calls'],"QD, QC, AD, KS, 9C","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")])}",4
5,115,['Sophia'],['Callie Calls'],"JS, 8C, KC, QD, 8S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades"")])}",5
6,68,['Sophia'],['Callie Calls'],"AD, 9C, 8H, 9H, 10C","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs"")])}",6
7,6,"['Cody', 'Sophia']","['Robbie Random', 'Callie Calls']","QD, AH, 8C, 9D, 9C","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",7
8,16,['Sophia'],['Callie Calls'],"2D, 2H, 7S, 8C, KH","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts"")])}",8
9,8,['Sophia'],['Callie Calls'],"5H, 9H, 5C, KD, AD","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"8S, QD, KS, AS, 8H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"9D, JD, 6D, 5D, AD","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",11
12,18,['Sophia'],['Callie Calls'],"10D, 10S, 7H, JD, 6H","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"AS, 10H, 8H, JS, 8D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"7H, KD, 6D, KC, 8H","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"3H, 3S, QH, 8S, 10S","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"5H, AD, 7C, 7S, AH","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"QH, QD, 7D, 9H, 7C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs"")])}",17
18,6,['Sophia'],['Callie Calls'],"JC, QC, 5C, 2C, 8C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""2"", ""Clubs""), Card(""8"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"5S, KD, 5C, 5H, KS","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""K"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"JS, AH, 10H, 6D, 10S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"8H, 4S, JD, 8S, 4C","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""4"", ""Clubs"")])}",21
22,12,['Sophia'],['Callie Calls'],"8C, 7H, 10D, 7D, AH","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"KS, QD, KH, 8D, KD","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",23
24,12,['Sophia'],['Callie Calls'],"8D, AC, 8S, 10D, 10C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"QC, QS, 7C, 7S, AH","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Hearts"")])}",25
26,12,['Sophia'],['Callie Calls'],"4D, 6H, 4S, 7C, 10D","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")])}",26
27,12,['Sophia'],['Callie Calls'],"2S, JH, 2C, 9H, QC","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs"")])}",27
