,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,635,['Madi'],['Callie Calls'],"AD, 10H, KH, AH, JD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds"")])}",0
1,78,['Sophia'],['Callie Calls'],"6H, 5C, 7D, 8S, 4S","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Clubs"")]), 'Steve': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""4"", ""Spades"")])}",1
2,10,['Sophia'],['Callie Calls'],"9D, 6C, 9C, QD, QH","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",2
3,31,['Madi'],['Callie Calls'],"7S, 9S, 6D, KC, 7H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs"")])}",3
4,5,['Sophia'],['Callie Calls'],"QC, QS, 9S, AS, 8C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Clubs"")])}",4
5,4,['Sophia'],['Callie Calls'],"KH, QS, KC, KS, 2H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""2"", ""Hearts"")])}",5
6,6,['Madi'],['Callie Calls'],"JC, 9D, 10H, KD, QD","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",6
7,5,['Sophia'],['Callie Calls'],"9D, KD, 9C, QC, 10C","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs"")])}",7
8,4,['Sophia'],['Callie Calls'],"8S, 8C, AH, 7H, KS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")])}",8
9,6,['Sophia'],['Callie Calls'],"5C, 5H, 3S, KD, 3C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""3"", ""Clubs"")])}",9
