,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,699,['Madi'],['Callie Calls'],"6S, JS, 8S, 6H, KS","{'Madi': Hand([Card(""6"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""K"", ""Spades"")])}",0
1,3,['Madi'],['Callie Calls'],"JD, 9D, 8H, KD, QS","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")])}",1
2,3,['Madi'],['Callie Calls'],"JC, AH, 4H, JH, 4S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Spades"")])}",2
3,3,['Madi'],['Callie Calls'],"JC, JH, 8S, 9S, 9C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"9D, JC, 9S, QH, 6S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"8S, 7H, JH, AS, QH","{'Madi': Hand([Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"KD, QS, KS, JC, JH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"JS, 9D, 9H, JC, AC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"4C, 4H, 4D, 4S, AH","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""A"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"KH, AH, 9D, 9H, JH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"QD, KD, AC, 10S, JC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"JC, 10D, 10H, KH, AH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"KC, AH, JH, AS, JS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"6C, 9C, 8C, 7C, 10S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"5H, 7H, 10D, QS, 6S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"6H, 6S, 7S, 7C, AH","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"4D, 4C, QH, QC, KC","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"6H, 6D, KD, 8H, 9D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"4H, 4C, 10H, AH, JD","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"2H, QH, KD, 2C, 9H","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""9"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"6H, AH, 8S, QC, 9S","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"AD, 10C, 2S, 2D, KH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"AC, KH, 7C, 7H, KS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")])}",22
