,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,315,['Sophia'],['Callie Calls'],"4H, AD, 4D, 9S, 9C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")])}",0
1,326,['Sophia'],['Callie Calls'],"5S, QC, KC, 5D, QH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",1
2,102,['Sophia'],['Callie Calls'],"9S, 8C, 10D, JH, 7S","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Spades"")])}",2
3,62,['Sophia'],['Callie Calls'],"JC, 9D, 8H, AH, AS","{'Steve': Hand([Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"10S, 5S, KD, 10C, 5D","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""5"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"2S, 9D, 9H, 2C, 10D","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds"")])}",5
6,66,['Sophia'],['Callie Calls'],"KD, 8D, AS, 4D, 4H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts"")])}",6
7,7,['Sophia'],['Callie Calls'],"QD, KS, 7D, 7S, JC","{'Michelle': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"AH, 7S, 10D, QH, 9S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"7D, AD, 10D, QD, 9D","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",9
