,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,495,['Sophia'],['Callie Calls'],"7H, 6S, 8C, 9H, 5H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""5"", ""Hearts"")])}",0
1,171,['Sophia'],['Callie Calls'],"AS, QS, KS, 8S, 8D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",1
2,94,['Sophia'],['Callie Calls'],"KH, KD, JC, 8H, 9D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")])}",2
3,38,['Michelle'],['Robbie Random'],"10S, 10C, 7D, 10D, JH","{'Michelle': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")])}",3
4,12,['Sophia'],['Callie Calls'],"KS, AD, JD, QH, QD","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",4
5,63,['Sophia'],['Callie Calls'],"5D, 4C, 2C, 3D, AC","{'Michelle': Hand([Card(""9"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""2"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"3H, 4H, 7H, 8H, 5H","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""4"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts"")])}",6
7,14,['Sophia'],['Callie Calls'],"AS, 9C, 10D, 10H, 8D","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"KH, KD, 6S, KS, 10C","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"5C, QS, KS, KD, 5S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""5"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"AH, 5S, 5H, 8D, 8C","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"5H, 7C, JS, QS, 5D","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"QC, 8H, KH, AD, 8D","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"KH, AD, JD, 10S, 9S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"6D, QD, JS, JH, 4C","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""4"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"10S, 10C, 8S, 8H, 8C","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",15
