,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,405,['Sophia'],['Callie Calls'],"8H, 9H, AH, 6H, 4H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Steve': Hand([Card(""3"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""4"", ""Hearts"")])}",0
1,231,['Sophia'],['Callie Calls'],"JD, QD, 2D, 6D, KD","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",1
2,101,['Sophia'],['Callie Calls'],"10H, 7D, 10D, 2H, 10S","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""10"", ""Spades"")])}",2
3,51,['Sophia'],['Callie Calls'],"7D, 5S, 8H, 6C, 9C","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs"")])}",3
4,18,['Steve'],['Robbie Random'],"6C, QC, 6S, QS, 6H","{'Steve': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts"")])}",4
5,7,['Sophia'],['Callie Calls'],"9H, JH, 3D, AC, 3S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""3"", ""Spades"")])}",5
6,6,['Sophia'],['Callie Calls'],"8H, 10D, 9C, QH, 8S","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades"")])}",6
7,56,['Sophia'],['Callie Calls'],"KS, 6D, 9H, JH, 10H","{'Cody': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"9H, 5S, 10S, 9S, 6D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"KD, KS, 9C, 10C, QC","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"KS, 2C, 2D, KC, 10D","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"AD, 6S, JH, KS, 6D","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"9C, QH, AC, QD, 10S","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades"")])}",12
