,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,446,['Madi'],['Callie Calls'],"2C, AH, 7S, 2H, 7D","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds"")]), 'Madi': Hand([Card(""2"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""2"", ""Hearts""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Diamonds"")])}",0
1,286,['Sophia'],['Callie Calls'],"QH, KH, 10S, KD, QC","{'Cody': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""6"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",1
2,105,['Sophia'],['Callie Calls'],"4D, KC, 4C, JS, AH","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")])}",2
3,42,['Sophia'],['Callie Calls'],"QH, 2S, KD, JC, 2C","{'Madi': Hand([Card(""2"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""2"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs"")])}",3
4,20,['Madi'],['Callie Calls'],"9C, 9D, JH, 8C, QS","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades"")])}",4
5,5,['Madi'],['Callie Calls'],"JC, 7H, 10C, 8C, 9H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",5
6,4,['Madi'],['Callie Calls'],"2D, 2S, 4C, 4D, 9S","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"KC, 6C, 10C, 9C, 3C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""3"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"6D, 6C, 9C, 9H, 6S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""6"", ""Spades"")])}",8
9,4,['Sophia'],['Callie Calls'],"KD, 8H, KC, 7C, 10S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")])}",9
