,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,442,['Sophia'],['Callie Calls'],"6H, 8H, 9C, 7C, 6C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs"")])}",0
1,98,['Sophia'],['Callie Calls'],"2C, 10D, 2D, KC, 10S","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Spades"")])}",1
2,128,"['Cody', 'Sophia']","['Robbie Random', 'Callie Calls']","6H, 4S, 7D, 8S, 5H","{'Cody': Hand([Card(""6"", ""Hearts""), Card(""4"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""4"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Hearts"")])}",2
3,20,['Sophia'],['Callie Calls'],"KC, 6H, AH, KH, 7C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs"")])}",3
4,4,['Sophia'],['Callie Calls'],"KH, 7C, QH, 6S, JC","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Clubs"")])}",4
5,251,['Sophia'],['Callie Calls'],"JC, 4C, 4S, JS, JD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"KS, 9S, 6D, 7H, QS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Spades"")])}",6
7,4,['Sophia'],['Callie Calls'],"JC, JH, 8D, 9H, KC","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"QS, 7S, AC, JH, 9D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")])}",8
9,10,['Sophia'],['Callie Calls'],"7H, 6C, 7S, 10S, AD","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"AH, 10C, AS, 8D, 8S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"6C, 8C, 6S, 4S, 10H","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""6"", ""Spades""), Card(""4"", ""Spades""), Card(""10"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"8D, 3S, 3C, JH, 7C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"10S, KH, QH, 10D, KC","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"9S, 5S, AS, QD, 5C","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"QC, JS, 7H, JH, KD","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"KD, KC, 9H, QS, JC","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"6D, QH, 5D, 6H, 5S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"3H, 3C, JD, JS, 6C","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"10D, 7D, 4D, KS, 4S","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"9D, JH, KH, KD, AS","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"9S, 7H, 7D, JH, 9H","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"JS, QS, 7D, 9D, 5D","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",22
23,12,['Sophia'],['Callie Calls'],"8S, 7C, AH, 9H, 8H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"QS, 8S, KC, JH, 10D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds"")])}",24
25,12,['Sophia'],['Callie Calls'],"QS, AS, 10H, 10D, 9S","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades"")])}",25
26,12,['Sophia'],['Callie Calls'],"7H, 7S, 9S, 9C, 8S","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Spades"")])}",26
27,12,['Sophia'],['Callie Calls'],"7H, 8C, 8S, 10C, AS","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"JS, 5S, KS, AC, 5C","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs"")])}",28
29,12,['Sophia'],['Callie Calls'],"9C, 8S, QC, KS, JD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds"")])}",29
