,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,404,['Madi'],['Callie Calls'],"JD, 7C, JS, AS, 7H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Clubs"")])}",0
1,233,['Madi'],['Callie Calls'],"QS, 9D, JC, AC, QD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""3"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",1
2,71,['Steve'],['Robbie Random'],"10D, AC, AD, 8C, JD","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",2
3,182,['Madi'],['Callie Calls'],"7S, 6S, 8D, QC, 8H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts"")])}",3
4,14,['Steve'],['Robbie Random'],"8D, 7S, 9H, 5H, 6S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Hearts""), Card(""6"", ""Spades"")])}",4
5,184,['Madi'],['Callie Calls'],"JD, 6D, QD, KD, 7C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"5S, JD, KC, 8D, 5H","{'Madi': Hand([Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""5"", ""Hearts"")])}",6
7,4,['Madi'],['Callie Calls'],"6C, 9C, KD, 8C, 9H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"9C, 3C, KH, 3H, JC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Hearts""), Card(""J"", ""Clubs"")])}",8
9,5,['Madi'],['Callie Calls'],"AD, 4S, JD, AH, 4C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""4"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"AD, 9D, 8S, 7H, JC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"10H, 9D, 9C, 8S, 8C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")])}",11
