,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,327,['Madi'],['Callie Calls'],"2S, 3C, 9H, 3S, 2D","{'Madi': Hand([Card(""2"", ""Spades""), Card(""3"", ""Clubs""), Card(""9"", ""Hearts""), Card(""3"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""3"", ""Clubs""), Card(""9"", ""Hearts""), Card(""3"", ""Spades"")])}",0
1,406,['Sophia'],['Callie Calls'],"8S, KD, JS, 8H, 8C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",1
2,67,['Sophia'],['Callie Calls'],"JD, 6C, AD, JC, 5D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Diamonds"")])}",2
3,28,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","3H, 3S, 2S, 2H, KS","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Spades"")])}",3
4,15,['Madi'],['Callie Calls'],"QH, AH, 8H, 3H, KH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""3"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""3"", ""Hearts""), Card(""K"", ""Hearts"")])}",4
5,4,['Sophia'],['Callie Calls'],"6C, AD, AH, 10H, 6H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Hearts"")])}",5
6,6,['Sophia'],['Callie Calls'],"9D, 8D, 7D, 6D, KD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",6
7,5,['Madi'],['Callie Calls'],"KS, AC, AD, KD, KC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,4,['Sophia'],['Callie Calls'],"5D, 9D, 8H, AS, 5C","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""5"", ""Clubs"")])}",8
9,6,['Sophia'],['Callie Calls'],"10H, AH, 7C, AS, KC","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",9
