,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,467,['Madi'],['Callie Calls'],"KD, 2S, 2D, 8D, 2C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs"")])}",0
1,61,['Madi'],['Callie Calls'],"KH, JH, KC, 8S, 6H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""6"", ""Hearts"")])}",1
2,157,['Madi'],['Callie Calls'],"10H, 7S, QS, 10C, 7H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts"")])}",2
3,110,['Madi'],['Callie Calls'],"7H, QC, 9H, 9S, 7C","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Clubs"")])}",3
4,95,['Steve'],['Robbie Random'],"10D, 10H, 10C, AC, 2C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs"")])}",4
5,120,['Steve'],['Robbie Random'],"9C, 9S, QD, 8C, AC","{'Madi': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Steve': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs"")])}",5
6,9,['Michelle'],['Robbie Random'],"6S, 9D, QC, 9S, 6H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Hearts"")])}",6
7,21,['Madi'],['Callie Calls'],"AS, 10S, QC, QD, KC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,6,['Madi'],['Callie Calls'],"KC, JS, QC, 9S, 9D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds"")])}",8
9,93,['Madi'],['Callie Calls'],"AC, AS, AD, 10H, 6C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts"")])}",9
