,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,552,['Madi'],['Callie Calls'],"4S, 4D, 6C, KH, KD","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")])}",0
1,62,['Madi'],['Callie Calls'],"JS, 4H, 4C, AD, KS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades"")])}",1
2,28,['Madi'],['Callie Calls'],"9C, 8S, JD, 6D, KC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs"")])}",2
3,4,['Madi'],['Callie Calls'],"KS, QS, 5S, 9S, 2S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""2"", ""Spades"")])}",3
4,120,['Steve'],['Robbie Random'],"QD, KS, JS, 10D, QH","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"QD, 6D, 6H, 2H, 6C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""2"", ""Hearts""), Card(""6"", ""Clubs"")])}",5
6,4,['Madi'],['Callie Calls'],"JD, 8C, AS, QH, JC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs"")])}",6
7,244,['Steve'],['Robbie Random'],"JH, JD, 9S, 8C, 9D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Steve': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"5S, 10S, QD, 5C, 7H","{'Madi': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""7"", ""Hearts"")])}",8
9,414,['Madi'],['Callie Calls'],"2H, 7D, 7H, 7C, 2S","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""2"", ""Spades"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""2"", ""Spades"")])}",9
10,114,['Madi'],['Callie Calls'],"5C, AC, 9C, 10S, 8S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Spades"")])}",10
11,28,['Madi'],['Callie Calls'],"3H, JH, KS, AS, 3S","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""3"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"AH, QC, 10H, QD, 9S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"QD, 8H, 9H, AS, QC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"JH, AC, KD, JD, KC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"9H, 10S, QH, 10D, KS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"9C, JD, KS, 6S, 6D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"KS, 6D, KH, JC, 6H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"KC, KH, 5S, 7C, 8D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""5"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds"")])}",18
