,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,568,['Madi'],['Callie Calls'],"QD, QC, 9D, 10H, 8C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts"")])}",0
1,35,['Madi'],['Callie Calls'],"JH, JS, AC, 5H, 5S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")])}",1
2,12,['Madi'],['Callie Calls'],"10D, 10H, 4S, KD, 4C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs"")])}",2
3,4,['Madi'],['Callie Calls'],"7S, AD, 10D, 2H, 2S","{'Madi': Hand([Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Spades"")])}",3
4,5,['Madi'],['Callie Calls'],"AD, 5D, 5C, 10S, 6C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Clubs"")])}",4
5,95,['Madi'],['Callie Calls'],"AC, AD, AH, KS, KD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds"")])}",5
6,4,['Madi'],['Callie Calls'],"10D, 10S, KS, 2D, 2H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts"")])}",6
7,86,['Madi'],['Callie Calls'],"3D, 7C, 3H, 10S, AH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""3"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"9H, 9C, 10C, KS, JD","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"8S, 4S, AS, 8D, 4H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""4"", ""Hearts"")])}",9
