,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,445,['Madi'],['Callie Calls'],"QS, 7C, 9H, 7S, 4D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""4"", ""Diamonds"")])}",0
1,271,['Steve'],['Robbie Random'],"AD, 6D, JH, 9S, AC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Clubs"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Clubs"")])}",1
2,78,['Madi'],['Callie Calls'],"9D, QS, QD, JS, 7C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Clubs"")])}",2
3,32,['Madi'],['Callie Calls'],"AC, 3C, 8S, AD, 3H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts"")])}",3
4,236,['Madi'],['Callie Calls'],"KH, JC, 9S, 9C, 6D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds"")])}",4
5,117,['Madi'],['Callie Calls'],"10S, 3H, 10H, 3C, 10D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""3"", ""Hearts""), Card(""10"", ""Hearts""), Card(""3"", ""Clubs""), Card(""10"", ""Diamonds"")])}",5
6,41,['Madi'],['Callie Calls'],"AD, AH, 9S, JH, 9C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs"")])}",6
7,150,['Steve'],['Robbie Random'],"QH, AS, 10C, QC, 8H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts"")])}",7
8,31,['Madi'],['Callie Calls'],"KD, 5D, 9S, AS, 5C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Clubs"")])}",8
9,274,['Madi'],['Callie Calls'],"AC, KH, 2H, 2D, KS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades"")])}",9
10,6,['Madi'],['Callie Calls'],"3H, 9S, 3C, QS, 8S","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""9"", ""Spades""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"6S, QS, JC, KH, 6C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"4H, JH, QS, 4S, 9D","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""9"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"QS, JD, 9H, 10D, JS","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"9S, JS, JC, KC, 9H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"2D, 2S, QS, KH, JC","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"AD, QC, JD, QH, QD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"JH, 4S, 2S, 4C, 2H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Spades""), Card(""2"", ""Spades""), Card(""4"", ""Clubs""), Card(""2"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"KD, 2D, 2C, JH, KC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"QH, 3S, KS, AS, 3H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""3"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"5H, 6S, AS, 6H, 5C","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"JC, 8C, JH, QS, AC","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"7D, JC, JH, AH, 7H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"KH, 8S, AC, 3C, 3D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds"")])}",23
24,12,['Madi'],['Callie Calls'],"2C, QD, 7D, 2S, 6S","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""2"", ""Spades""), Card(""6"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"AC, AS, KH, 6C, 8S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"QH, 5D, 8C, 2C, 2H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"10S, 3S, 3C, AH, 8C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"JS, 5C, 5H, JC, 5S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Clubs""), Card(""5"", ""Spades"")])}",28
29,12,['Madi'],['Callie Calls'],"JC, QS, JH, 8H, KC","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs"")])}",29
30,12,['Madi'],['Callie Calls'],"10D, 9D, KS, 7H, QH","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Hearts"")])}",30
