,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,353,['Madi'],['Callie Calls'],"QS, QC, 10S, QH, 8S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades"")])}",0
1,54,['Sophia'],['Callie Calls'],"JH, 10S, 10H, QC, JD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds"")])}",1
2,265,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JC, 7D, AD, 7C, JD","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Diamonds"")])}",2
3,160,['Madi'],['Callie Calls'],"JC, AS, JD, QH, AC","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Michelle': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",3
4,24,['Sophia'],['Callie Calls'],"QD, 7D, KD, 10D, 6D","{'Cody': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",4
5,7,['Sophia'],['Callie Calls'],"4H, 10H, 4D, 10S, QH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",5
6,6,['Michelle'],['Robbie Random'],"QS, KD, KS, KC, 6D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",6
7,5,['Sophia'],['Callie Calls'],"3C, 5C, 6C, 9C, QC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")])}",7
8,6,['Sophia'],['Callie Calls'],"9S, 7D, QS, 7C, 5S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""5"", ""Spades"")])}",8
9,5,['Madi'],['Callie Calls'],"4S, 3S, KS, 5S, 9S","{'Madi': Hand([Card(""4"", ""Spades""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Hearts"")])}",9
