,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,596,['Cody'],['Robbie Random'],"JC, 9H, 6C, 9C, 6D","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""5"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds"")])}",0
1,70,['Beezie'],['Ricky Raise'],"QS, QH, 6S, 10S, 5H","{'Beezie': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""10"", ""Spades""), Card(""5"", ""Hearts"")])}",1
2,100,['Michelle'],['Robbie Random'],"4D, JD, QS, 7C, 10S","{'Michelle': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")])}",2
3,16,['Michelle'],['Robbie Random'],"6C, JS, 8S, KC, 5S","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""5"", ""Spades"")])}",3
4,3,['Michelle'],['Robbie Random'],"9D, JC, 10C, QH, 8D","{'Michelle': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds"")])}",4
5,267,['Michelle'],['Robbie Random'],"QS, 9C, JC, AC, KS","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Spades"")])}",5
6,3,['Cody'],['Robbie Random'],"JS, QH, QS, JC, AC","{'Cody': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs"")])}",6
7,316,['Cody'],['Robbie Random'],"4H, JH, 10D, JD, 4D","{'Cody': Hand([Card(""4"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",7
8,647,['Michelle'],['Robbie Random'],"JH, JD, KS, JS, KD","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds"")])}",8
9,682,['Michelle'],['Robbie Random'],"2H, 9S, 8H, 8S, 2D","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""2"", ""Diamonds"")])}",9
10,3,['Michelle'],['Robbie Random'],"8C, QH, JS, 2C, 2S","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Spades"")])}",10
11,6,['Michelle'],['Robbie Random'],"AC, AS, 10H, QD, 7C","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs"")])}",11
12,6,['Michelle'],['Robbie Random'],"KS, 2H, 9H, QC, 2S","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""2"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""2"", ""Spades"")])}",12
13,6,['Michelle'],['Robbie Random'],"6C, 7C, 8D, 6D, 8S","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Spades"")])}",13
14,507,['Michelle'],['Robbie Random'],"8S, 7H, 8C, AS, 8D","{'Michelle': Hand([Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds"")])}",14
15,6,['Michelle'],['Robbie Random'],"3D, 3H, AC, AS, AH","{'Michelle': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Hearts"")])}",15
16,6,['Michelle'],['Robbie Random'],"4D, JS, 4C, 8D, QD","{'Michelle': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",16
17,6,['Michelle'],['Robbie Random'],"4C, 4H, QC, 9C, 8C","{'Michelle': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs"")])}",17
18,6,['Bob'],['Floyd Folds'],"9D, KD, KS, 6D, 9S","{'Bob': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades"")])}",18
19,6,['Michelle'],['Robbie Random'],"6D, JS, 6S, 9H, QS","{'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Spades"")])}",19
20,6,['Michelle'],['Robbie Random'],"2S, 8H, 2D, JD, 9D","{'Michelle': Hand([Card(""2"", ""Spades""), Card(""8"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",20
21,12,['Michelle'],['Robbie Random'],"JS, 8S, 9D, 10C, QS","{'Michelle': Hand([Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades"")])}",21
22,12,['Michelle'],['Robbie Random'],"QS, 9C, 7S, 6D, AH","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts"")])}",22
23,12,['Michelle'],['Robbie Random'],"10D, 9H, AC, 8C, KH","{'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts"")])}",23
24,12,['Michelle'],['Robbie Random'],"8C, 9C, QC, KC, AC","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs"")])}",24
25,12,['Michelle'],['Robbie Random'],"9S, KD, 7D, 3C, 3D","{'Michelle': Hand([Card(""9"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds"")])}",25
26,102,['Michelle'],['Robbie Random'],"9H, 8S, 3C, 3H, 7C","{'Michelle': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""7"", ""Clubs"")])}",26
27,12,['Michelle'],['Robbie Random'],"QS, JD, 6H, AS, 6D","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds"")])}",27
28,12,['Michelle'],['Robbie Random'],"2H, QH, 2C, 10H, KS","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Spades"")])}",28
29,12,['Michelle'],['Robbie Random'],"9S, JC, KH, 10S, KD","{'Michelle': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds"")])}",29
30,12,['Bob'],['Floyd Folds'],"8S, 5H, 5S, 7C, 10C","{'Bob': Hand([Card(""8"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs"")])}",30
31,24,['Michelle'],['Robbie Random'],"7C, 4H, QC, 4S, KS","{'Michelle': Hand([Card(""7"", ""Clubs""), Card(""4"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""K"", ""Spades"")])}",31
