,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,485,['Sophia'],['Callie Calls'],"KH, 4C, KD, AS, 8H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Hearts"")])}",0
1,261,['Sophia'],['Callie Calls'],"QD, AH, 10D, QC, 9H","{'Cody': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")])}",1
2,51,['Sophia'],['Callie Calls'],"JS, JH, JD, 3H, 3C","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs"")])}",2
3,10,['Sophia'],['Callie Calls'],"5C, AS, 4H, 5S, 4D","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""5"", ""Spades""), Card(""4"", ""Diamonds"")])}",3
4,8,['Sophia'],['Callie Calls'],"10D, AS, JS, 10S, QH","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"AS, JH, 3S, 3D, KS","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""K"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"7S, 8D, AD, QC, KC","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"9H, 9C, 5H, 9S, QD","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""5"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"9H, 9C, KD, 5D, 5S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"JS, QS, 10C, 9D, 9S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades"")])}",9
