,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,585,['Madi'],['Callie Calls'],"9D, QD, 6D, QC, 4S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")]), 'Steve': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")])}",0
1,124,['Madi'],['Callie Calls'],"JH, 8C, QH, 9S, JS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Spades"")])}",1
2,13,['Madi'],['Callie Calls'],"6C, QH, 9D, QD, 5D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",2
3,74,['Madi'],['Callie Calls'],"10H, KC, 10S, KS, JD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds"")])}",3
4,10,['Madi'],['Callie Calls'],"8C, AS, QD, KD, 7H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"AC, 10D, 6C, KS, 9C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"6C, 6H, JS, AS, 9S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"2S, 6H, AD, 2C, JC","{'Madi': Hand([Card(""2"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""J"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"9H, 2S, KH, 2C, 9C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Spades""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"KS, 7H, 5H, 5D, JD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"8S, 9D, KC, 10C, QS","{'Madi': Hand([Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"AC, 10H, KH, KC, AS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"4C, AH, 8S, 7D, QD","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"6S, KH, AC, 5D, 8H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"8D, 6H, JS, 9C, 10D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"8C, AS, KH, 9S, 9H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"KD, JC, 5S, KS, 9C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"AS, AC, 2S, JS, 2D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""2"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"7S, 7H, AH, QS, AD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"QD, AD, KS, KH, AS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"7S, 5H, 5S, 7D, 9H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"QD, 7C, QH, JS, 8C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"4D, 4C, AD, 7S, 6D","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"KC, QS, KH, 10S, JC","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"JS, JD, KC, 6C, QD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"2H, 7H, 4H, KH, 3H","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""7"", ""Hearts""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts""), Card(""3"", ""Hearts"")])}",25
26,12,['Madi'],['Callie Calls'],"10D, AD, JC, KS, QH","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",26
