,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,270,['Sophia'],['Callie Calls'],"AC, 4C, 5C, KC, 7C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""5"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs"")])}",0
1,233,['Steve'],['Robbie Random'],"9D, 5S, 10D, 5H, 9S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Spades"")]), 'Steve': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Spades"")])}",1
2,493,['Cody'],['Robbie Random'],"6S, 2S, 6H, 2C, 10D","{'Cody': Hand([Card(""6"", ""Spades""), Card(""2"", ""Spades""), Card(""6"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades"")])}",2
3,516,['Sophia'],['Callie Calls'],"AD, JC, JD, AH, 9S","{'Cody': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",3
4,151,['Sophia'],['Callie Calls'],"8H, 7S, 5H, 6D, 4C","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""4"", ""Clubs"")])}",4
5,7,['Sophia'],['Callie Calls'],"10D, KD, JS, 5C, 7C","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs"")])}",5
6,176,['Sophia'],['Callie Calls'],"QS, 9S, 9H, KS, QC","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs"")])}",6
7,18,['Sophia'],['Callie Calls'],"JH, AD, AH, 7C, 10D","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"KD, 4C, 6C, 4D, 6D","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""6"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"7S, AD, 10H, 7H, 9C","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"5C, JH, 5H, QS, KC","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Hearts""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs"")])}",10
