,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,397,['Madi'],['Callie Calls'],"QD, 5C, 8H, QC, KS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades"")]), 'Michelle': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades"")]), 'Steve': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""2"", ""Hearts"")])}",0
1,135,['Madi'],['Callie Calls'],"10C, KC, KS, 6S, 6D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",1
2,34,['Madi'],['Callie Calls'],"7D, 7S, JH, JS, QH","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts"")])}",2
3,30,['Madi'],['Callie Calls'],"10H, 9S, 8D, JH, KD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds"")])}",3
4,15,['Madi'],['Callie Calls'],"QC, 9H, KS, 7S, 7D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds"")])}",4
5,37,['Madi'],['Callie Calls'],"8D, KD, QC, 9H, 10H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")])}",5
6,85,['Madi'],['Callie Calls'],"JS, 6S, 9H, 6C, QS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades"")])}",6
7,4,['Madi'],['Callie Calls'],"8S, 5D, 10C, 8D, 6C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs"")])}",7
8,108,['Madi'],['Callie Calls'],"3S, JD, JH, AD, 3D","{'Cody': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Madi': Hand([Card(""3"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"QH, JC, 7D, 8S, 5D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"JH, KH, 9D, QC, KC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"9H, 2S, 9C, AD, 2H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"7D, 8D, KC, 7H, 8H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"KD, KC, 6H, QD, 10D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"10H, QS, AD, 2S, 2C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"QS, JS, JC, 7H, 7S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"10C, 8H, 8D, QC, KH","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"3S, 3C, 2D, 2H, 7S","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""7"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"8S, 9C, 10H, 4H, 6C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""4"", ""Hearts""), Card(""6"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"JC, 9H, 8S, 7H, KS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"9C, 2S, 9D, 2H, QS","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"9C, QS, 7C, 9H, 8D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"AH, AD, KS, 9C, QD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"QD, 5S, 5D, 4D, 4C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"7D, KH, AD, JH, QH","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"9H, KH, 7S, 9D, QS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"KC, 6H, AS, 6C, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"JH, KD, KH, 10D, AH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"2S, 2C, 7C, QH, 9H","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"2C, 2D, 6H, JC, 6S","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades"")])}",29
