,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,698,['Madi'],['Callie Calls'],"JC, JS, JD, 8D, AH","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Madi': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts"")])}",0
1,7,['Madi'],['Callie Calls'],"KH, 8H, 5S, KC, 10D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Michelle': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",1
2,3,['Madi'],['Callie Calls'],"5D, 10C, KS, KH, 5S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""5"", ""Spades"")])}",2
3,3,['Madi'],['Callie Calls'],"5C, KS, 9D, 7C, QC","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"QH, 6C, 7H, KC, 10H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"JC, 5S, JS, QH, 5D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"JD, 10S, 10H, 9D, QS","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"7S, 7H, JH, KC, QS","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"AD, JS, KS, QC, AH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"9D, 6C, QC, 9H, 9S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Spades"")])}",9
