,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,402,['Madi'],['Callie Calls'],"AH, 10S, 8S, QH, AC","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",0
1,299,['Madi'],['Callie Calls'],"JC, 10C, 8S, 9D, 7C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs"")])}",1
2,3,['Madi'],['Callie Calls'],"KH, JD, 9S, JH, 8H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"KH, 6H, JS, 9H, JD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds"")])}",3
4,5,['Madi'],['Callie Calls'],"8D, 5D, 7D, 5H, 8C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs"")])}",4
5,160,['Madi'],['Callie Calls'],"JH, AH, 9H, KS, AD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"10S, 9H, KS, AC, KH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts"")])}",6
7,23,['Madi'],['Callie Calls'],"5S, QS, 9C, 10D, 6C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",7
8,6,['Madi'],['Callie Calls'],"10S, QS, JS, QD, KH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"KD, 3H, 3D, 2H, 2C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"9D, 9H, 7H, 9S, 7S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"9H, 5S, 6H, 5D, QS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"KS, KH, 2D, 2S, JC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""J"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"7D, 3H, 3C, KH, AS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"7C, 6D, 9H, 10H, AD","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds"")])}",14
