,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,648,['Sophia'],['Callie Calls'],"10H, 5H, 7H, KS, 5C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Clubs"")])}",0
1,57,['Sophia'],['Callie Calls'],"QD, 8D, 8S, QH, AH","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts"")])}",1
2,26,['Sophia'],['Callie Calls'],"KS, QC, JH, AH, KC","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")])}",2
3,4,['Sophia'],['Callie Calls'],"6S, 10H, AH, 8C, 10D","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"10C, 10S, 4C, 10D, KS","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"QH, 10H, QC, JS, AC","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"2D, 2S, 10H, 2C, 9S","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""10"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"KH, 10S, KD, 10C, 5S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""5"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"9H, KC, JS, 5D, AC","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"10S, 4S, 5D, 5S, 10H","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Spades""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"QD, 7D, 8C, JD, KC","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"7H, 10S, KD, 7D, QC","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"5S, QC, 8C, 8H, AH","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"8H, 8D, KS, 10C, 7C","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"9D, JS, 4C, QC, QS","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"7D, 6H, 5D, 3D, 4H","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""4"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"JD, QH, 4H, 4D, JC","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"AS, QS, 3D, JD, 3S","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""3"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""3"", ""Spades"")])}",17
