,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,491,['Sophia'],['Callie Calls'],"4D, 5C, 8C, 6S, 7H","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Hearts"")])}",0
1,105,['Madi'],['Callie Calls'],"QD, 4S, 2S, 2C, 4H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""2"", ""Spades""), Card(""6"", ""Spades""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs"")])}",1
2,48,['Sophia'],['Callie Calls'],"6D, 6S, 10C, KS, 9C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")])}",2
3,20,['Sophia'],['Callie Calls'],"JC, 10D, AC, 10H, AS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Spades"")])}",3
4,108,['Madi'],['Callie Calls'],"QH, 4C, 4S, 4D, 3H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades"")])}",4
5,163,['Madi'],['Callie Calls'],"8H, 9D, JC, KH, AD","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Clubs"")])}",5
6,5,['Sophia'],['Callie Calls'],"3C, 9S, 3S, 9C, AH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""9"", ""Spades""), Card(""3"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts"")])}",6
7,4,['Sophia'],['Callie Calls'],"QD, AC, QS, KC, 10C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")])}",7
8,11,['Sophia'],['Callie Calls'],"4D, QS, 4C, QC, AH","{'Cody': Hand([Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Hearts"")]), 'Madi': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts"")])}",8
9,5,['Sophia'],['Callie Calls'],"10S, AH, 8H, AC, 6H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")])}",9
10,4,['Sophia'],['Callie Calls'],"3S, 3C, 2C, 2H, AS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Spades"")])}",10
11,12,['Sophia'],['Callie Calls'],"9C, KD, 2H, QS, 2D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""2"", ""Diamonds"")])}",11
12,10,['Sophia'],['Callie Calls'],"9C, JS, AC, 5C, 9S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Spades"")])}",12
13,8,['Sophia'],['Callie Calls'],"3S, 3H, 10S, 10D, JS","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",13
