,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,493,['Madi'],['Callie Calls'],"QD, QH, 9C, AD, 9D","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",0
1,15,['Madi'],['Callie Calls'],"KD, AH, 5C, 10D, 6S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades"")])}",1
2,56,['Madi'],['Callie Calls'],"9H, AD, QD, 8H, 8D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")])}",2
3,137,['Madi'],['Callie Calls'],"9H, 10D, 10C, KC, KH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts"")])}",3
4,8,['Madi'],['Callie Calls'],"9C, KH, 9S, AH, QD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",4
5,177,['Michelle'],['Robbie Random'],"7H, 7C, 4S, 4D, 7D","{'Cody': Hand([Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",5
6,256,['Madi'],['Callie Calls'],"AS, JS, QS, 5H, AH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"KC, 4H, 7C, JH, QD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"KC, JC, KH, AH, 10D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"JH, QC, JC, 7C, 5D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs""), Card(""5"", ""Diamonds"")])}",9
10,6,['Madi'],['Callie Calls'],"6C, 8H, QD, QS, 8C","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs"")])}",10
11,10,['Madi'],['Callie Calls'],"8S, 5S, 5H, JS, 6C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Clubs"")])}",11
12,8,['Madi'],['Callie Calls'],"JS, AC, 9S, 7H, 9D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds"")])}",12
