,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,493,['Sophia'],['Callie Calls'],"10S, KD, 9D, 6H, KC","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Clubs"")])}",0
1,145,['Sophia'],['Callie Calls'],"AD, 8D, AS, 9C, JC","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs"")])}",1
2,59,['Sophia'],['Callie Calls'],"QS, KC, 9H, 10D, 10H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",2
3,124,['Sophia'],['Callie Calls'],"7S, 6D, 6S, 4D, 4C","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs"")])}",3
4,8,['Sophia'],['Callie Calls'],"QC, 9C, AH, 2C, 2D","{'Michelle': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds"")])}",4
5,7,['Sophia'],['Callie Calls'],"7C, 8S, 6H, 6D, QC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",5
6,44,['Sophia'],['Callie Calls'],"10H, QC, 10C, KH, 5H","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts"")])}",6
7,14,['Sophia'],['Callie Calls'],"5H, 5D, 8D, QH, 9C","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"JH, QC, KH, 6S, 6C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"2S, AS, 8D, JH, 2C","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"KS, 7S, 7D, 10C, 10H","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"10C, 9S, AS, KH, 9D","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds"")])}",11
