,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,427,['Sophia'],['Callie Calls'],"4H, 4S, 4D, AC, KC","{'Madi': Hand([Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")])}",0
1,146,['Sophia'],['Callie Calls'],"10D, 9H, 6C, AC, 6H","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")])}",1
2,159,['Sophia'],['Callie Calls'],"5H, QS, AH, 5C, 10S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")])}",2
3,108,['Sophia'],['Callie Calls'],"4H, 8S, KS, 4S, AD","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Diamonds"")])}",3
4,54,['Sophia'],['Callie Calls'],"QH, QS, QD, KS, 10S","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades"")])}",4
5,7,['Sophia'],['Callie Calls'],"10S, 2S, 10H, 2D, QD","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""2"", ""Spades""), Card(""10"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"5C, 5H, 10H, JH, JS","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"3S, JS, 3D, QH, QC","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""J"", ""Spades""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"5D, KS, QS, KD, 5S","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""5"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"8H, QH, 9D, 9C, JS","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"2D, 8D, JD, 3D, 9D","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"9S, AH, 9H, 9D, KS","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades"")])}",11
