,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,580,['Michelle'],['Robbie Random'],"QD, JH, QC, 7D, KC","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs"")])}",0
1,8,['Beezie'],['Ricky Raise'],"8C, 6D, 7C, QS, QD","{'Beezie': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",1
2,62,['Cody'],['Robbie Random'],"8S, 2S, AC, 2C, 8C","{'Cody': Hand([Card(""8"", ""Spades""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs""), Card(""8"", ""Clubs"")])}",2
3,7,['Beezie'],['Ricky Raise'],"3H, 3S, JS, QC, KH","{'Beezie': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")])}",3
4,32,['Michelle'],['Robbie Random'],"QS, AC, 8C, 6H, 8S","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades"")])}",4
5,11,['Beezie'],['Ricky Raise'],"QH, 8H, JC, 6S, 10C","{'Beezie': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""10"", ""Clubs"")])}",5
6,9,['Beezie'],['Ricky Raise'],"7C, 6H, 10H, 9S, 8D","{'Beezie': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",6
7,570,['Michelle'],['Robbie Random'],"KS, 6S, 5S, 7S, 2S","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Spades"")])}",7
8,505,['Michelle'],['Robbie Random'],"10C, KD, JD, 7S, KS","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Spades"")])}",8
9,18,['Michelle'],['Robbie Random'],"5D, 6C, 3S, 2H, 4S","{'Michelle': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""3"", ""Spades""), Card(""2"", ""Hearts""), Card(""4"", ""Spades"")])}",9
