,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,527,['Sophia'],['Callie Calls'],"9C, 9S, 7S, 8S, 8C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")])}",0
1,223,['Madi'],['Callie Calls'],"KS, 6S, 7S, JC, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")])}",1
2,42,['Madi'],['Callie Calls'],"JD, 7S, QC, JS, 8D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds"")])}",2
3,12,['Madi'],['Callie Calls'],"JS, KD, 8D, JC, QS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades"")])}",3
4,12,['Madi'],['Callie Calls'],"10D, KH, 9C, KS, 9D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs"")])}",4
5,10,['Sophia'],['Callie Calls'],"QD, 5H, QS, KS, AH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")])}",5
6,6,['Sophia'],['Callie Calls'],"AS, AH, QC, AD, QS","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"9D, KH, 9H, 10S, 10C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"10C, 9H, JS, 8H, 7C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs"")])}",8
9,4,['Sophia'],['Callie Calls'],"3D, 3H, 4C, 10S, 3S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""3"", ""Spades"")])}",9
10,6,['Sophia'],['Callie Calls'],"JS, AS, AH, 4C, 6D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs""), Card(""6"", ""Diamonds"")])}",10
11,10,['Sophia'],['Callie Calls'],"QD, 5D, 9D, 7D, 2D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",11
