,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,657,['Michelle'],['Robbie Random'],"2D, 2S, 2H, KH, 3D","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Spades"")]), 'Michelle': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Spades"")])}",0
1,34,['Beezie'],['Ricky Raise'],"7H, JS, JC, 10S, 9H","{'Beezie': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Hearts"")])}",1
2,429,['Michelle'],['Robbie Random'],"10C, 10H, 9H, 7D, 7H","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts"")])}",2
3,698,['Michelle'],['Robbie Random'],"6H, 7D, 9H, 8S, AS","{'Michelle': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""A"", ""Spades"")])}",3
4,3,['Michelle'],['Robbie Random'],"8C, JD, AC, KH, 5S","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""5"", ""Spades"")])}",4
5,3,['Michelle'],['Robbie Random'],"AD, QH, QS, AC, KS","{'Michelle': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades"")])}",5
6,3,['Bob'],['Floyd Folds'],"7H, 4S, JH, 4H, 9H","{'Bob': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Spades""), Card(""J"", ""Hearts""), Card(""4"", ""Hearts""), Card(""9"", ""Hearts"")])}",6
7,3,['Michelle'],['Robbie Random'],"QD, 8C, JC, 4S, 4D","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds"")])}",7
8,3,['Michelle'],['Robbie Random'],"AS, JS, QS, 10C, JD","{'Michelle': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds"")])}",8
9,3,['Michelle'],['Robbie Random'],"QH, 7D, QS, 8D, JD","{'Michelle': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",9
10,3,['Michelle'],['Robbie Random'],"AD, KD, QS, AH, 8H","{'Michelle': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts"")])}",10
11,6,['Michelle'],['Robbie Random'],"JD, 8H, JH, 7S, 9H","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Hearts"")])}",11
12,474,['Michelle'],['Robbie Random'],"10S, QH, QC, 9C, AH","{'Michelle': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts"")])}",12
13,6,['Michelle'],['Robbie Random'],"JS, KS, AD, JC, 9H","{'Michelle': Hand([Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts"")])}",13
14,291,['Michelle'],['Robbie Random'],"10H, 2H, 9D, 10D, 10S","{'Michelle': Hand([Card(""10"", ""Hearts""), Card(""2"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades"")])}",14
15,6,['Michelle'],['Robbie Random'],"KS, QC, 4H, 4D, AD","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",15
16,6,['Bob'],['Floyd Folds'],"5C, QD, 5H, 9H, 5S","{'Bob': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts""), Card(""5"", ""Spades"")])}",16
17,6,['Michelle'],['Robbie Random'],"10S, 8C, JC, 10D, AC","{'Michelle': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs"")])}",17
18,666,['Michelle'],['Robbie Random'],"6C, 7D, 10C, QD, 6H","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts"")])}",18
19,6,['Michelle'],['Robbie Random'],"AS, 4C, 4S, 10D, 10C","{'Michelle': Hand([Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")])}",19
20,6,['Michelle'],['Robbie Random'],"JD, 10D, 10S, 8H, 7C","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs"")])}",20
21,12,['Michelle'],['Robbie Random'],"KC, JC, JD, 9C, 9H","{'Michelle': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts"")])}",21
22,644,['Michelle'],['Robbie Random'],"3D, JD, 9C, 3H, 7D","{'Michelle': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""3"", ""Hearts""), Card(""7"", ""Diamonds"")])}",22
23,12,['Michelle'],['Robbie Random'],"5H, 9C, 8H, 7C, 6H","{'Michelle': Hand([Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts"")])}",23
24,12,['Michelle'],['Robbie Random'],"8S, 2H, 8D, JH, 2C","{'Michelle': Hand([Card(""8"", ""Spades""), Card(""2"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Clubs"")])}",24
25,12,['Michelle'],['Robbie Random'],"AH, KD, 7H, QD, KS","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")])}",25
26,12,['Bob'],['Floyd Folds'],"9D, AH, AS, 10S, QS","{'Bob': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Spades"")])}",26
27,12,['Michelle'],['Robbie Random'],"KC, 3C, QS, QD, 3H","{'Michelle': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""3"", ""Hearts"")])}",27
