,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,382,['Madi'],['Callie Calls'],"3S, 3H, JS, AS, 9D","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds"")])}",0
1,293,['Steve'],['Robbie Random'],"QC, 3S, QH, 9D, 3H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Clubs""), Card(""3"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Hearts"")])}",1
2,641,['Madi'],['Callie Calls'],"8H, KD, AS, KS, 10H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts"")])}",2
3,17,['Madi'],['Callie Calls'],"10S, KS, 8H, QC, JC","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs"")])}",3
4,10,['Madi'],['Callie Calls'],"7C, 5C, 10D, 4H, 8H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""5"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""8"", ""Hearts"")])}",4
5,43,['Madi'],['Callie Calls'],"7D, 9H, 7C, KC, 9S","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")])}",5
6,4,['Madi'],['Callie Calls'],"3S, 8C, KH, JC, 3C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""3"", ""Clubs"")])}",6
7,30,['Madi'],['Callie Calls'],"5H, 5D, 4H, 4S, AC","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Clubs"")])}",7
8,9,['Madi'],['Callie Calls'],"8C, AC, 8H, 6H, QD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"8H, JD, KC, 5H, 8D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"JS, QC, 4S, KH, 4D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"JH, JC, 7S, 7H, QS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"4D, AC, 4S, 2D, 2S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""4"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"8D, 9S, 6C, 7H, AC","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"8S, AH, 9D, 8H, 8C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"JD, 9S, 9H, 3D, 3H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"KH, 9S, JS, KD, 8H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"6S, KD, QC, 9S, 10C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"9D, 10H, AH, KD, 9S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"JD, JH, 6C, AS, 6S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"4H, 4D, KD, JH, JC","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"JD, 3D, JS, 3C, JC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""J"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"KD, KS, 10C, 5C, 8S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"KH, 8H, QC, 10C, QD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",23
