,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,538,['Madi'],['Callie Calls'],"8S, 6S, QH, KD, 5C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs"")])}",0
1,89,['Madi'],['Callie Calls'],"10C, AS, JS, AH, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts"")])}",1
2,87,['Steve'],['Robbie Random'],"10S, JD, JH, KS, 8C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Clubs"")])}",2
3,70,['Madi'],['Callie Calls'],"9S, JS, 10S, AC, 7C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs"")])}",3
4,22,['Madi'],['Callie Calls'],"8D, 10C, 10D, AD, QH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"6C, 5S, 4S, 8H, 7D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Diamonds"")])}",5
6,4,['Madi'],['Callie Calls'],"AC, 8H, 5D, 9H, JC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs"")])}",6
7,58,['Madi'],['Callie Calls'],"5C, 9C, 5D, 9D, 5S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"9H, AH, 7D, 7H, KC","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"AC, 7D, 9C, KC, 9S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")])}",9
10,94,['Madi'],['Callie Calls'],"AC, 3H, 9D, 3S, 9H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""3"", ""Spades""), Card(""9"", ""Hearts"")]), 'Steve': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"8C, 10D, 7D, 8S, 10H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"3D, 7S, KC, 3H, 9D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""9"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"9D, 5D, 5S, AS, JH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"10H, JH, QD, AC, 9D","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"8H, 7H, 7D, 7S, 8C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"9H, 10C, 9S, 10H, 8S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"9C, 5D, 5S, AC, 10H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"3S, 7H, JS, 3C, 9S","{'Madi': Hand([Card(""3"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Clubs""), Card(""9"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"KC, QS, 5C, 4H, 9D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""4"", ""Hearts""), Card(""9"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"QH, JH, JD, 7C, 7H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"6D, JD, 6H, 8C, 8H","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"10C, JD, 5H, QH, JC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs"")])}",22
23,12,['Madi'],['Callie Calls'],"7D, 7H, 7C, 6H, AH","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"8C, 4D, 10H, 4S, 8S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""4"", ""Spades""), Card(""8"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"JH, KS, 7C, JS, KD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"QC, 8S, 7C, 8C, JD","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",26
27,12,['Madi'],['Callie Calls'],"QS, QH, 9H, 8C, JS","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Spades"")])}",27
