,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,654,['Michelle'],['Robbie Random'],"JH, JC, AD, 10C, 7C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Michelle': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs"")])}",0
1,395,['Madi'],['Callie Calls'],"AC, KH, AD, QD, 10D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",1
2,14,['Madi'],['Callie Calls'],"2D, 5S, 5C, 2C, AH","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""2"", ""Clubs""), Card(""A"", ""Hearts"")])}",2
3,7,['Madi'],['Callie Calls'],"KC, 8S, 10C, KH, 9H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts"")])}",3
4,587,['Madi'],['Callie Calls'],"10H, 9H, QH, 8S, 10C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Clubs"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"10H, 7H, 3H, 3C, 8S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""8"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"KH, QD, 8H, 7S, KS","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AD, 8H, KC, 9H, QC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"9D, 9S, 6H, 10S, AH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"9S, 10D, AC, 9H, QD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"6C, 9H, 8C, 7D, 10D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"QC, 8H, 6C, JD, JH","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"AS, QD, 7H, 7D, 10S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades"")])}",12
