,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,639,['Michelle'],['Robbie Random'],"3H, 9H, QH, 4H, 7H","{'Cody': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Michelle': Hand([Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")])}",0
1,39,['Beezie'],['Ricky Raise'],"8H, KH, KS, JS, AH","{'Beezie': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")])}",1
2,32,['Beezie'],['Ricky Raise'],"JH, KS, 10S, JS, AC","{'Beezie': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Clubs"")])}",2
3,215,['Michelle'],['Robbie Random'],"6C, KH, 8C, 7H, 7S","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Spades"")])}",3
4,271,['Michelle'],['Robbie Random'],"JD, 7S, 8S, 5S, KD","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds"")])}",4
5,50,['Beezie'],['Ricky Raise'],"8S, QC, 7H, AC, JC","{'Beezie': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs"")])}",5
6,403,['Michelle'],['Robbie Random'],"4C, 7H, 4H, QH, 7C","{'Michelle': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Hearts""), Card(""4"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs"")])}",6
7,132,['Michelle'],['Robbie Random'],"7D, 3H, 5S, 6S, 4C","{'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Clubs"")])}",7
8,30,['Michelle'],['Robbie Random'],"3D, JD, 5C, 3C, 5S","{'Michelle': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""3"", ""Clubs""), Card(""5"", ""Spades"")])}",8
9,33,['Michelle'],['Robbie Random'],"9C, 6S, 6C, AD, 9H","{'Michelle': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts"")])}",9
