,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,372,['Madi'],['Callie Calls'],"10S, QC, 3S, 10H, 10C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""3"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",0
1,285,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","8S, AS, KD, AH, 8H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts"")])}",1
2,289,['Madi'],['Callie Calls'],"4H, 6H, 7C, 5S, 8D","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""5"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",2
3,41,['Michelle'],['Robbie Random'],"9H, AC, AH, 9D, QD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",3
4,129,['Michelle'],['Robbie Random'],"3H, 6C, 6S, 6H, 3D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Michelle': Hand([Card(""3"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Hearts""), Card(""3"", ""Diamonds"")])}",4
5,48,['Madi'],['Callie Calls'],"QC, 7D, 4S, 6S, 4C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Clubs"")])}",5
6,174,['Madi'],['Callie Calls'],"9H, KS, QS, 10H, JS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Spades"")])}",6
7,39,['Michelle'],['Robbie Random'],"JH, AD, AS, 9H, 10H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Michelle': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")])}",7
8,4,['Madi'],['Callie Calls'],"9S, 10S, 10D, 9H, 8C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs"")])}",8
9,36,['Madi'],['Callie Calls'],"KS, JC, 9C, 10S, 6S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"QS, 2S, 8S, AS, 4S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""2"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""4"", ""Spades"")])}",10
