,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,618,['Michelle'],['Robbie Random'],"4C, 9C, 4D, QD, QH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""4"", ""Clubs""), Card(""9"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",0
1,166,['Michelle'],['Robbie Random'],"AH, QS, JH, AS, QC","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs"")])}",1
2,696,['Michelle'],['Robbie Random'],"AC, 10C, 7H, KD, 9C","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs"")])}",2
3,3,['Beezie'],['Ricky Raise'],"7H, AH, 7S, QD, KH","{'Beezie': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts"")])}",3
4,5,['Beezie'],['Ricky Raise'],"10S, QC, 10H, KD, 8S","{'Beezie': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Spades"")])}",4
5,481,['Michelle'],['Robbie Random'],"8S, JH, 4C, 4S, 10H","{'Michelle': Hand([Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""10"", ""Hearts"")])}",5
6,586,['Michelle'],['Robbie Random'],"KH, AC, 9H, AD, KS","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades"")])}",6
7,90,['Michelle'],['Robbie Random'],"7D, 10S, 2H, QC, 2C","{'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""2"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""2"", ""Clubs"")])}",7
8,3,['Michelle'],['Robbie Random'],"7D, JD, JS, 10H, AS","{'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Spades"")])}",8
9,581,['Michelle'],['Robbie Random'],"10D, QC, 9S, 8D, 8C","{'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs"")])}",9
10,3,['Michelle'],['Robbie Random'],"2D, 2S, QD, AS, JD","{'Michelle': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")])}",10
11,6,['Michelle'],['Robbie Random'],"8C, 6H, KC, 9D, QH","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",11
12,6,['Michelle'],['Robbie Random'],"2H, JH, JC, 8D, 2C","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""2"", ""Clubs"")])}",12
13,6,['Bob'],['Floyd Folds'],"10D, 9H, AC, AH, 9S","{'Bob': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",13
14,6,['Michelle'],['Robbie Random'],"6S, AD, 8S, 7C, 10D","{'Michelle': Hand([Card(""6"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")])}",14
15,6,['Bob'],['Floyd Folds'],"5C, QH, 9D, 7D, KS","{'Bob': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades"")])}",15
16,6,['Michelle'],['Robbie Random'],"7S, 9H, JC, KC, 8H","{'Michelle': Hand([Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",16
17,6,['Bob'],['Floyd Folds'],"10C, JC, QC, AS, JS","{'Bob': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Spades"")])}",17
18,6,['Michelle'],['Robbie Random'],"2S, 9D, QS, 2D, 9C","{'Michelle': Hand([Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""2"", ""Diamonds""), Card(""9"", ""Clubs"")])}",18
19,6,['Michelle'],['Robbie Random'],"8D, KD, AS, 6S, 10H","{'Michelle': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""10"", ""Hearts"")])}",19
20,6,['Michelle'],['Robbie Random'],"7D, 5H, 5C, 7S, 7H","{'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts"")])}",20
21,12,['Bob'],['Floyd Folds'],"8H, QH, QD, 9D, KD","{'Bob': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",21
22,12,['Michelle'],['Robbie Random'],"AS, 8S, AH, 6H, 9D","{'Michelle': Hand([Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds"")])}",22
23,12,['Bob'],['Floyd Folds'],"JS, 10H, 10D, KD, AH","{'Bob': Hand([Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts"")])}",23
24,12,['Michelle'],['Robbie Random'],"QD, JH, 7D, 9H, JD","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds"")])}",24
25,12,['Michelle'],['Robbie Random'],"7C, 10S, AC, 9S, QD","{'Michelle': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds"")])}",25
26,12,['Michelle'],['Robbie Random'],"8H, QD, 10D, 7D, AC","{'Michelle': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs"")])}",26
27,663,['Michelle'],['Robbie Random'],"5H, AC, 10H, 10C, 8C","{'Michelle': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs"")])}",27
28,12,['Michelle'],['Robbie Random'],"8H, JH, JD, AH, AS","{'Michelle': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",28
29,707,['Michelle'],['Robbie Random'],"3C, QH, 3H, QS, KS","{'Michelle': Hand([Card(""3"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Spades"")])}",29
30,12,['Michelle'],['Robbie Random'],"JH, 4D, 4S, 10C, JD","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds"")])}",30
31,268,['Michelle'],['Robbie Random'],"7S, 2C, AC, 7C, 2H","{'Michelle': Hand([Card(""7"", ""Spades""), Card(""2"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""2"", ""Hearts"")])}",31
32,24,['Michelle'],['Robbie Random'],"JH, AH, KC, 10H, QS","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades"")])}",32
